14/07/01-09:57:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.696/86.753/87.773/0.718 ms
14/07/01-09:59:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 84.814/86.215/87.999/1.148 ms
14/07/01-10:01:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 85.075/85.618/86.546/0.535 ms
14/07/01-10:02:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 86.331/88.391/91.631/2.052 ms
14/07/01-10:04:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 85.439/85.894/87.013/0.625 ms
14/07/01-10:06:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.099/86.155/87.107/0.816 ms
14/07/01-10:07:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 84.723/86.071/87.351/1.069 ms
14/07/01-10:09:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.794/87.348/88.213/0.833 ms
14/07/01-10:10:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.807/86.954/87.997/0.769 ms
14/07/01-10:12:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 85.121/86.893/89.289/1.394 ms
14/07/01-10:14:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 84.841/85.528/86.012/0.503 ms
14/07/01-10:15:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.049/87.071/88.688/1.242 ms
14/07/01-10:17:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 86.559/89.229/91.197/1.553 ms
14/07/01-10:19:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.154/86.446/87.292/0.732 ms
14/07/01-10:20:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.022/86.033/87.609/1.002 ms
