14/07/01-09:58:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 184.232/184.308/184.407/0.389 ms
14/07/01-10:00:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.210/184.253/184.313/0.385 ms
14/07/01-10:02:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 184.328/184.397/184.475/0.278 ms
14/07/01-10:03:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.254/184.289/184.339/0.471 ms
14/07/01-10:05:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.205/184.248/184.327/0.274 ms
14/07/01-10:07:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.206/184.272/184.357/0.474 ms
14/07/01-10:08:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.249/184.545/185.036/0.428 ms
14/07/01-10:10:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.854/184.956/185.168/0.294 ms
14/07/01-10:12:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.227/184.335/184.481/0.099 ms
14/07/01-10:13:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 184.224/184.330/184.425/0.069 ms
14/07/01-10:15:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.234/184.292/184.359/0.387 ms
14/07/01-10:16:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 184.295/184.365/184.445/0.545 ms
14/07/01-10:18:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.266/184.293/184.316/0.543 ms
14/07/01-10:20:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.162/184.314/184.477/0.125 ms
14/07/01-10:21:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.256/184.308/184.371/0.544 ms
14/07/01-10:23:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.260/184.342/184.399/0.388 ms
14/07/01-10:25:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.160/184.289/184.332/0.474 ms
14/07/01-10:26:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.213/184.378/184.920/0.543 ms
14/07/01-10:28:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 184.150/184.271/184.363/0.476 ms
14/07/01-10:30:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.259/184.447/185.021/0.552 ms
14/07/01-10:31:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 184.209/184.389/184.765/0.577 ms
14/07/01-10:33:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.172/184.309/184.375/0.547 ms
14/07/01-10:34:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.239/184.301/184.386/0.546 ms
14/07/01-10:36:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.241/184.301/184.383/0.547 ms
14/07/01-10:38:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 184.260/184.337/184.432/0.387 ms
14/07/01-10:39:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 184.248/184.310/184.429/0.547 ms
14/07/01-10:41:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.332/184.364/184.438/0.472 ms
14/07/01-10:43:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.210/184.293/184.375/0.064 ms
14/07/01-10:44:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 184.284/184.530/185.309/0.477 ms
14/07/01-10:46:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.267/184.316/184.370/0.039 ms
14/07/01-10:48:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.231/184.298/184.430/0.281 ms
14/07/01-10:49:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.270/184.335/184.365/0.544 ms
14/07/01-10:51:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 184.177/184.412/184.661/0.329 ms
