14/07/01-09:58:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 110.571/111.629/111.910/0.529 ms
14/07/01-10:00:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.781/112.179/112.719/0.516 ms
14/07/01-10:02:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 111.894/112.101/112.624/0.455 ms
14/07/01-10:03:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.553/111.808/111.884/0.247 ms
14/07/01-10:05:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.754/111.890/112.025/0.381 ms
14/07/01-10:06:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 111.828/112.430/113.440/0.670 ms
14/07/01-10:08:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 106.091/110.686/111.863/2.297 ms
14/07/01-10:10:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 107.438/111.057/112.063/1.837 ms
14/07/01-10:11:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.626/111.789/111.906/0.314 ms
14/07/01-10:13:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 106.445/110.826/111.962/2.190 ms
14/07/01-10:15:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.804/111.850/111.926/0.425 ms
14/07/01-10:16:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 111.829/111.886/111.924/0.215 ms
14/07/01-10:18:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 110.669/111.659/111.934/0.651 ms
14/07/01-10:20:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 106.571/110.801/111.893/2.157 ms
14/07/01-10:21:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 106.140/110.768/111.964/2.314 ms
14/07/01-10:23:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.839/111.885/111.910/0.026 ms
14/07/01-10:25:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 111.605/111.846/111.964/0.325 ms
14/07/01-10:26:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 111.747/111.907/111.988/0.227 ms
14/07/01-10:28:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 107.545/110.976/111.969/1.747 ms
14/07/01-10:29:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.809/111.875/111.939/0.303 ms
14/07/01-10:31:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.824/111.874/111.915/0.424 ms
14/07/01-10:33:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 110.566/111.640/111.985/0.684 ms
14/07/01-10:34:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 111.803/111.842/111.899/0.368 ms
14/07/01-10:36:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 111.828/111.986/112.339/0.350 ms
14/07/01-10:38:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 107.434/111.008/111.939/1.812 ms
14/07/01-10:39:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 111.795/111.860/111.898/0.214 ms
