14/07/01-09:58:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 343.713/346.917/349.719/2.431 ms
14/07/01-09:59:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 343.809/345.741/347.801/1.263 ms
14/07/01-10:01:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 339.796/343.786/347.071/2.582 ms
14/07/01-10:03:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 340.998/344.946/348.311/2.734 ms
14/07/01-10:04:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 342.161/345.212/347.185/1.848 ms
14/07/01-10:06:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 340.658/341.277/342.229/0.585 ms
14/07/01-10:08:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.740/341.672/346.540/3.297 ms
14/07/01-10:09:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 344.342/347.829/351.278/2.925 ms
14/07/01-10:11:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 338.257/341.908/346.706/2.825 ms
14/07/01-10:13:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 345.414/346.501/347.477/0.979 ms
14/07/01-10:14:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 276.497/277.038/277.895/0.767 ms
14/07/01-10:16:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 276.324/276.641/277.812/0.751 ms
14/07/01-10:17:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 275.076/275.995/277.507/1.012 ms
14/07/01-10:19:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 271.222/271.872/272.422/0.512 ms
14/07/01-10:21:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.330/271.729/272.461/0.719 ms
14/07/01-10:22:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 274.987/275.324/275.519/0.181 ms
14/07/01-10:24:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 274.928/275.364/276.228/0.610 ms
14/07/01-10:26:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.079/275.637/276.930/0.906 ms
14/07/01-10:27:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.312/275.553/276.018/0.528 ms
14/07/01-10:29:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 271.299/271.722/272.923/0.604 ms
14/07/01-10:31:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 271.293/271.674/272.464/0.626 ms
