14/07/01-10:02:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 78.848/79.144/79.478/0.433 ms
14/07/01-10:04:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 78.775/78.889/79.110/0.331 ms
14/07/01-10:05:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 79.132/79.528/80.170/0.351 ms
14/07/01-10:07:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 78.833/79.072/79.262/0.356 ms
14/07/01-10:09:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 78.800/79.021/79.196/0.381 ms
14/07/01-10:10:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 78.923/79.109/79.355/0.382 ms
14/07/01-10:12:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 78.873/79.108/79.421/0.253 ms
14/07/01-10:13:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 78.808/79.182/79.590/0.262 ms
14/07/01-10:15:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 79.043/79.133/79.289/0.203 ms
14/07/01-10:17:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 78.811/79.310/79.547/0.439 ms
14/07/01-10:18:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 79.344/79.518/79.664/0.338 ms
14/07/01-10:20:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.216/79.535/79.825/0.414 ms
14/07/01-10:22:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.227/79.414/79.563/0.274 ms
14/07/01-10:23:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.305/79.429/79.787/0.311 ms
14/07/01-10:25:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 79.403/79.619/79.898/0.314 ms
14/07/01-10:27:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.281/79.603/80.101/0.446 ms
14/07/01-10:28:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.217/79.560/80.049/0.493 ms
14/07/01-10:30:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 78.899/78.992/79.261/0.136 ms
14/07/01-10:32:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.023/79.179/79.283/0.090 ms
14/07/01-10:33:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 78.824/79.107/79.442/0.327 ms
14/07/01-10:35:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 78.890/79.146/79.397/0.211 ms
14/07/01-10:36:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 79.162/79.534/79.833/0.341 ms
14/07/01-10:38:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 79.268/79.479/79.733/0.396 ms
14/07/01-10:40:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.078/79.599/80.364/0.590 ms
14/07/01-10:41:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 79.480/79.644/79.813/0.329 ms
14/07/01-10:43:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 78.742/79.005/79.193/0.356 ms
14/07/01-10:45:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 78.846/79.209/79.704/0.472 ms
14/07/01-10:46:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 78.837/79.342/79.978/0.524 ms
14/07/01-10:48:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 78.761/79.008/79.566/0.457 ms
14/07/01-10:50:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 78.796/79.003/79.272/0.388 ms
14/07/01-10:51:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 78.710/79.002/79.356/0.379 ms
14/07/01-10:53:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 78.652/79.019/79.400/0.449 ms
14/07/01-10:55:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.212/79.521/80.092/0.348 ms
14/07/01-10:56:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 79.262/79.583/80.039/0.426 ms
14/07/01-10:58:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 79.250/79.436/79.814/0.269 ms
14/07/01-10:59:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.171/79.323/79.560/0.141 ms
14/07/01-11:01:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 79.291/79.583/79.918/0.412 ms
14/07/01-11:03:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 79.278/79.510/79.680/0.222 ms
