14/07/01-10:01:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.619/241.712/241.801/0.544 ms
14/07/01-10:03:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 241.577/241.760/241.955/0.467 ms
14/07/01-10:05:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 241.567/241.843/242.323/0.512 ms
14/07/01-10:06:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 241.634/241.963/242.251/0.207 ms
14/07/01-10:08:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 241.543/241.800/242.191/0.379 ms
14/07/01-10:10:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.504/241.624/241.700/0.625 ms
14/07/01-10:11:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.602/242.666/243.950/1.050 ms
14/07/01-10:13:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 241.649/241.720/241.851/0.319 ms
14/07/01-10:15:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 241.633/241.978/242.736/0.407 ms
14/07/01-10:16:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.515/241.722/241.958/0.567 ms
14/07/01-10:18:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 241.475/241.844/242.863/0.808 ms
14/07/01-10:19:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 241.714/241.904/242.098/0.125 ms
14/07/01-10:21:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 241.589/241.726/241.943/0.634 ms
14/07/01-10:23:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 241.663/241.830/242.037/0.459 ms
14/07/01-10:24:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.622/241.786/242.260/0.239 ms
14/07/01-10:26:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 241.599/241.756/241.974/0.334 ms
14/07/01-10:28:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 241.466/241.836/242.207/0.502 ms
14/07/01-10:29:47 - 5 packets transmitted, 4 received, 20% packet loss, time 3998ms rtt min/avg/max/mdev = 241.680/242.028/242.355/0.263 ms
14/07/01-10:31:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 241.682/241.949/242.321/0.385 ms
14/07/01-10:33:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 241.653/241.839/242.134/0.648 ms
14/07/01-10:34:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.543/241.769/242.056/0.470 ms
14/07/01-10:36:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 241.686/241.860/242.088/0.143 ms
14/07/01-10:38:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 241.662/241.895/242.378/0.597 ms
14/07/01-10:39:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 241.584/241.815/242.416/0.436 ms
14/07/01-10:41:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 241.482/242.082/242.368/0.318 ms
14/07/01-10:42:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 241.438/241.738/241.892/0.562 ms
14/07/01-10:44:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 241.482/241.647/241.807/0.109 ms
14/07/01-10:46:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 241.595/242.026/242.457/0.276 ms
