14/07/01-10:01:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 137.062/137.263/137.579/0.503 ms
14/07/01-10:02:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 137.085/137.166/137.245/0.054 ms
14/07/01-10:04:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 137.097/137.347/137.814/0.417 ms
14/07/01-10:06:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 137.125/137.398/137.769/0.405 ms
14/07/01-10:07:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 137.086/137.250/137.348/0.344 ms
14/07/01-10:09:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 137.061/137.283/137.491/0.440 ms
14/07/01-10:11:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 137.046/137.361/138.138/0.400 ms
14/07/01-10:12:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 137.082/137.355/137.775/0.514 ms
14/07/01-10:14:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 137.035/137.094/137.205/0.061 ms
14/07/01-10:15:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 137.133/137.316/137.564/0.438 ms
14/07/01-10:17:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 137.070/137.259/137.458/0.433 ms
14/07/01-10:19:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 137.110/137.298/137.564/0.298 ms
14/07/01-10:20:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 137.413/137.668/137.997/0.519 ms
14/07/01-10:22:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 137.127/137.393/137.601/0.436 ms
14/07/01-10:24:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 137.125/137.212/137.296/0.411 ms
14/07/01-10:25:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 137.052/137.354/137.629/0.459 ms
