14/07/01-10:01:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.755/134.473/135.592/0.983 ms
14/07/01-10:02:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 133.663/134.452/135.344/0.843 ms
14/07/01-10:04:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 133.427/133.752/134.205/0.473 ms
14/07/01-10:05:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.417/134.026/135.340/0.688 ms
14/07/01-10:07:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.661/134.283/135.775/0.809 ms
14/07/01-10:09:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.586/134.106/135.540/0.838 ms
14/07/01-10:10:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 133.523/134.363/135.484/0.952 ms
14/07/01-10:12:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.596/133.696/133.817/0.407 ms
14/07/01-10:14:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.599/134.020/135.522/0.883 ms
14/07/01-10:15:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.828/134.531/135.555/0.861 ms
14/07/01-10:17:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.586/133.824/134.180/0.507 ms
14/07/01-10:19:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.752/134.261/135.536/0.664 ms
14/07/01-10:20:43 - 5 packets transmitted, 4 received, 20% packet loss, time 4004ms rtt min/avg/max/mdev = 133.607/134.206/135.293/0.685 ms
14/07/01-10:22:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.757/134.267/135.582/0.811 ms
14/07/01-10:24:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.487/133.765/133.947/0.366 ms
14/07/01-10:25:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.706/134.679/135.818/0.978 ms
14/07/01-10:27:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 133.555/134.272/135.853/0.855 ms
14/07/01-10:28:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 133.621/134.102/135.433/0.752 ms
14/07/01-10:30:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.845/134.414/135.315/0.630 ms
14/07/01-10:32:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.647/134.250/135.796/0.782 ms
14/07/01-10:33:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.628/134.606/135.515/0.783 ms
14/07/01-10:35:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.792/133.938/134.202/0.366 ms
14/07/01-10:37:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.784/134.998/135.992/0.961 ms
14/07/01-10:38:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.621/134.142/135.805/0.867 ms
14/07/01-10:40:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.631/133.956/134.657/0.451 ms
14/07/01-10:42:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.603/134.680/136.361/1.291 ms
14/07/01-10:43:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.774/134.641/136.104/0.944 ms
14/07/01-10:45:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.450/133.715/134.004/0.510 ms
14/07/01-10:47:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 133.655/134.278/135.820/0.888 ms
14/07/01-10:48:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.510/134.479/135.736/1.005 ms
14/07/01-10:50:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.505/134.154/135.293/0.604 ms
14/07/01-10:51:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.548/134.188/135.448/0.767 ms
14/07/01-10:53:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.750/134.158/135.389/0.708 ms
14/07/01-10:55:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.741/134.204/135.852/0.887 ms
14/07/01-10:56:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.741/134.239/135.645/0.816 ms
14/07/01-10:58:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.786/134.527/135.696/0.888 ms
14/07/01-11:00:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.679/135.013/135.985/0.948 ms
14/07/01-11:01:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 133.727/133.971/134.526/0.369 ms
14/07/01-11:03:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 133.608/133.746/133.997/0.136 ms
14/07/01-11:05:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 133.666/134.960/137.870/1.553 ms
14/07/01-11:06:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.430/134.136/135.896/0.896 ms
14/07/01-11:08:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.651/134.760/135.660/0.906 ms
14/07/01-11:09:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 133.648/134.169/135.420/0.785 ms
14/07/01-11:11:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.567/133.720/133.856/0.472 ms
14/07/01-11:13:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.714/133.862/134.015/0.252 ms
14/07/01-11:14:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.590/134.223/135.607/0.794 ms
14/07/01-11:16:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.737/134.146/135.447/0.653 ms
14/07/01-11:18:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 133.641/134.295/135.580/0.798 ms
14/07/01-11:19:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.656/133.790/134.041/0.486 ms
14/07/01-11:21:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.622/135.059/137.358/1.353 ms
14/07/01-11:23:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 133.613/135.076/138.177/1.734 ms
14/07/01-11:24:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 133.657/134.083/134.587/0.309 ms
14/07/01-11:26:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 133.579/133.964/134.479/0.558 ms
14/07/01-11:27:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 133.617/134.144/135.577/0.758 ms
