14/07/01-10:01:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.290/123.368/123.620/0.126 ms
14/07/01-10:02:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.331/123.646/124.288/0.509 ms
14/07/01-10:04:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.253/123.408/123.557/0.401 ms
14/07/01-10:06:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 123.182/123.441/123.712/0.382 ms
14/07/01-10:07:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.214/123.414/123.601/0.462 ms
14/07/01-10:09:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.369/123.561/123.979/0.442 ms
14/07/01-10:11:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.237/123.292/123.345/0.226 ms
14/07/01-10:12:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.259/123.464/123.831/0.203 ms
14/07/01-10:14:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.377/123.482/123.633/0.090 ms
14/07/01-10:16:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.235/123.387/123.681/0.352 ms
14/07/01-10:17:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.366/123.399/123.431/0.385 ms
14/07/01-10:19:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.284/123.568/123.851/0.296 ms
14/07/01-10:20:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.298/123.458/123.654/0.256 ms
14/07/01-10:22:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.316/123.438/123.591/0.396 ms
14/07/01-10:24:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.498/123.694/123.937/0.171 ms
14/07/01-10:25:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.256/123.401/123.516/0.453 ms
14/07/01-10:27:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.233/123.687/124.862/0.718 ms
14/07/01-10:29:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.354/123.810/125.482/0.947 ms
14/07/01-10:30:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.317/123.949/125.721/0.954 ms
14/07/01-10:32:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.240/123.408/123.549/0.103 ms
14/07/01-10:34:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.167/123.376/123.706/0.425 ms
14/07/01-10:35:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.317/123.407/123.520/0.322 ms
14/07/01-10:37:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.133/123.368/123.746/0.441 ms
14/07/01-10:39:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 123.293/123.527/123.863/0.296 ms
14/07/01-10:40:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.178/123.483/123.765/0.384 ms
14/07/01-10:42:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.395/123.597/123.913/0.290 ms
14/07/01-10:43:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.194/123.638/124.633/0.613 ms
14/07/01-10:45:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.371/123.472/123.662/0.329 ms
14/07/01-10:47:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.342/123.420/123.641/0.334 ms
14/07/01-10:48:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.162/123.427/123.561/0.344 ms
14/07/01-10:50:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.513/123.677/123.849/0.459 ms
14/07/01-10:52:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.363/123.616/123.952/0.433 ms
14/07/01-10:53:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.302/123.733/124.264/0.549 ms
14/07/01-10:55:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 123.245/123.510/123.834/0.295 ms
14/07/01-10:57:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 123.148/123.556/124.008/0.500 ms
14/07/01-10:58:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.313/123.503/123.663/0.412 ms
14/07/01-11:00:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.347/123.635/123.912/0.481 ms
14/07/01-11:02:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 123.286/123.762/124.057/0.347 ms
14/07/01-11:03:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.227/123.476/123.770/0.198 ms
14/07/01-11:05:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.386/123.730/124.013/0.391 ms
14/07/01-11:06:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.371/123.723/124.088/0.325 ms
14/07/01-11:08:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 123.220/123.582/123.952/0.505 ms
