14/07/01-10:01:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.915/229.421/236.524/8.150 ms
14/07/01-10:03:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 217.021/227.080/235.808/7.895 ms
14/07/01-10:05:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.946/228.910/236.053/8.114 ms
14/07/01-10:06:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 221.031/230.887/235.836/6.067 ms
14/07/01-10:08:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.848/227.975/236.594/7.245 ms
14/07/01-10:09:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.854/232.383/236.040/6.773 ms
14/07/01-10:11:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.503/229.237/236.821/7.767 ms
14/07/01-10:13:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.831/225.444/235.809/8.027 ms
14/07/01-10:14:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 218.669/227.325/243.653/10.018 ms
14/07/01-10:16:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.749/225.982/235.580/7.740 ms
14/07/01-10:18:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.613/226.008/235.848/7.959 ms
14/07/01-10:19:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 217.801/222.219/234.412/6.256 ms
14/07/01-10:21:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 219.162/226.648/236.274/5.536 ms
14/07/01-10:23:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.394/223.276/235.572/6.363 ms
14/07/01-10:24:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 221.748/231.229/235.316/4.996 ms
14/07/01-10:26:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.891/229.659/235.390/7.118 ms
14/07/01-10:27:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 225.228/233.023/236.305/4.384 ms
14/07/01-10:29:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 217.482/228.455/236.028/8.736 ms
14/07/01-10:31:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 217.862/223.762/234.817/6.327 ms
14/07/01-10:32:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.915/228.405/236.276/7.830 ms
14/07/01-10:34:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 219.354/226.264/235.398/7.498 ms
14/07/01-10:36:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 235.306/236.719/240.011/1.787 ms
14/07/01-10:37:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.424/228.235/235.975/7.570 ms
14/07/01-10:39:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.626/225.180/235.373/6.728 ms
14/07/01-10:41:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 221.777/232.256/235.935/5.439 ms
14/07/01-10:42:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 216.870/224.877/234.580/7.996 ms
14/07/01-10:44:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 218.615/223.268/235.363/6.201 ms
14/07/01-10:46:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 217.826/226.751/235.932/7.085 ms
14/07/01-10:47:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.151/230.129/242.986/9.867 ms
14/07/01-10:49:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 219.063/228.765/235.494/7.084 ms
14/07/01-10:50:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.922/236.590/273.289/21.720 ms
14/07/01-10:52:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.823/229.465/236.556/7.456 ms
14/07/01-10:54:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 217.854/226.938/235.892/6.695 ms
14/07/01-10:55:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 217.361/226.460/238.724/9.648 ms
14/07/01-10:57:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 218.858/228.188/234.168/6.572 ms
14/07/01-10:59:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.425/225.812/235.791/7.657 ms
14/07/01-11:00:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.510/227.377/236.487/7.939 ms
14/07/01-11:02:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.786/230.323/242.618/8.888 ms
14/07/01-11:04:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.389/223.148/235.716/6.409 ms
14/07/01-11:05:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 226.683/234.142/242.681/5.462 ms
14/07/01-11:07:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.751/224.885/235.420/7.070 ms
14/07/01-11:09:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.642/223.947/232.125/6.384 ms
14/07/01-11:10:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.242/224.672/235.131/5.809 ms
14/07/01-11:12:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.781/225.207/236.219/6.279 ms
14/07/01-11:13:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 218.616/225.776/236.451/8.540 ms
14/07/01-11:15:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 219.133/228.232/235.247/6.798 ms
14/07/01-11:17:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 218.776/231.726/235.633/6.532 ms
14/07/01-11:18:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.933/231.989/235.537/6.531 ms
14/07/01-11:20:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 218.715/230.402/236.037/6.867 ms
14/07/01-11:22:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 221.584/230.582/235.966/5.635 ms
14/07/01-11:23:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 221.831/229.568/236.479/6.480 ms
14/07/01-11:25:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 218.035/220.625/221.972/1.413 ms
14/07/01-11:27:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.400/222.670/235.499/6.541 ms
14/07/01-11:28:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 220.783/231.395/241.670/8.382 ms
14/07/01-11:30:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 217.594/227.425/238.419/8.405 ms
14/07/01-11:31:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.328/227.989/235.869/7.553 ms
14/07/01-11:33:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.997/226.374/236.470/7.871 ms
14/07/01-11:35:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 217.404/229.205/235.915/8.048 ms
14/07/01-11:36:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 218.812/226.247/236.217/7.721 ms
14/07/01-11:38:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 221.661/231.873/235.528/5.306 ms
14/07/01-11:40:09 - 5 packets transmitted, 4 received, 20% packet loss, time 3997ms rtt min/avg/max/mdev = 218.766/222.483/231.153/5.126 ms
14/07/01-11:41:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 219.039/228.668/235.311/7.819 ms
14/07/01-11:43:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 217.815/221.430/234.534/6.559 ms
14/07/01-11:45:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 217.615/225.331/235.630/7.202 ms
14/07/01-11:46:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 217.805/225.414/235.925/8.366 ms
14/07/01-11:48:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 217.941/221.980/235.897/6.971 ms
14/07/01-11:50:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 219.108/225.793/234.909/6.556 ms
14/07/01-11:51:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 218.925/230.304/235.851/6.762 ms
14/07/01-11:53:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.569/222.029/231.153/4.835 ms
14/07/01-11:54:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 218.480/226.279/235.712/7.798 ms
14/07/01-11:56:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 222.116/231.111/235.866/5.278 ms
14/07/01-11:58:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 231.857/234.637/235.819/1.442 ms
