14/07/01-10:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 182.521/182.788/183.012/0.312 ms
14/07/01-10:03:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 182.656/182.896/183.190/0.348 ms
14/07/01-10:05:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 182.396/183.184/184.321/0.767 ms
14/07/01-10:07:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 182.464/183.069/184.295/0.808 ms
14/07/01-10:08:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 182.785/183.234/183.814/0.591 ms
14/07/01-10:10:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 182.708/182.887/183.230/0.198 ms
14/07/01-10:11:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 182.836/183.127/183.477/0.587 ms
14/07/01-10:13:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 182.891/183.090/183.185/0.551 ms
14/07/01-10:15:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 182.578/182.915/183.297/0.231 ms
14/07/01-10:16:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 182.713/183.182/183.970/0.431 ms
14/07/01-10:18:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 182.668/182.867/183.094/0.559 ms
14/07/01-10:20:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.320/184.899/186.903/1.698 ms
14/07/01-10:21:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.148/183.616/184.042/0.462 ms
14/07/01-10:23:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 183.079/183.824/184.372/0.595 ms
14/07/01-10:25:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 183.099/183.408/183.667/0.346 ms
14/07/01-10:26:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 183.089/183.489/183.850/0.553 ms
14/07/01-10:28:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 183.119/183.695/185.095/0.855 ms
14/07/01-10:29:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 183.050/183.378/183.682/0.525 ms
