14/07/01-10:01:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 194.591/194.924/195.488/0.299 ms
14/07/01-10:03:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.621/194.877/195.088/0.429 ms
14/07/01-10:04:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 194.607/194.825/195.185/0.348 ms
14/07/01-10:06:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 194.616/194.777/194.965/0.147 ms
14/07/01-10:08:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 194.580/194.846/195.272/0.372 ms
14/07/01-10:09:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 194.632/194.724/194.813/0.286 ms
14/07/01-10:11:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 194.624/194.838/195.179/0.463 ms
14/07/01-10:12:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 194.603/194.804/195.121/0.179 ms
14/07/01-10:14:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 194.633/194.694/194.830/0.072 ms
14/07/01-10:16:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.596/194.694/194.816/0.085 ms
14/07/01-10:17:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 194.646/194.777/195.012/0.421 ms
14/07/01-10:19:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 194.556/194.939/195.395/0.461 ms
14/07/01-10:21:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 194.588/194.814/195.004/0.136 ms
14/07/01-10:22:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.590/194.862/195.077/0.169 ms
14/07/01-10:24:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.699/195.004/195.262/0.346 ms
14/07/01-10:26:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 194.589/194.737/194.827/0.082 ms
14/07/01-10:27:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 194.666/194.807/195.020/0.306 ms
14/07/01-10:29:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 194.534/194.708/194.878/0.576 ms
14/07/01-10:31:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 194.742/194.997/195.258/0.427 ms
14/07/01-10:32:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 194.588/194.939/195.240/0.452 ms
