14/07/01-10:01:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 156.325/156.708/157.058/0.496 ms
14/07/01-10:02:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 156.360/156.677/157.429/0.465 ms
14/07/01-10:04:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 156.579/156.785/157.233/0.422 ms
14/07/01-10:06:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.388/156.552/156.785/0.296 ms
14/07/01-10:07:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.442/156.570/156.727/0.267 ms
14/07/01-10:09:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 156.394/156.597/156.751/0.451 ms
14/07/01-10:10:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 156.277/156.461/156.646/0.514 ms
14/07/01-10:12:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.392/156.781/157.453/0.614 ms
14/07/01-10:14:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.398/156.680/156.884/0.317 ms
14/07/01-10:15:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.376/156.646/157.085/0.557 ms
14/07/01-10:17:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.561/156.732/157.029/0.304 ms
14/07/01-10:19:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 156.359/156.664/157.039/0.438 ms
14/07/01-10:20:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.348/156.726/157.261/0.390 ms
14/07/01-10:22:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.418/156.746/157.555/0.428 ms
14/07/01-10:24:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.384/156.673/156.857/0.398 ms
14/07/01-10:25:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.544/156.778/157.266/0.437 ms
14/07/01-10:27:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.415/156.650/156.862/0.458 ms
14/07/01-10:29:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.460/156.693/156.937/0.194 ms
14/07/01-10:30:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.353/156.631/157.068/0.441 ms
14/07/01-10:32:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.341/156.893/157.723/0.580 ms
14/07/01-10:33:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.614/156.807/157.048/0.159 ms
14/07/01-10:35:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.498/156.849/157.829/0.559 ms
14/07/01-10:37:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 156.439/156.981/157.675/0.661 ms
14/07/01-10:38:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.423/156.572/156.702/0.445 ms
14/07/01-10:40:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.475/156.671/157.023/0.186 ms
14/07/01-10:42:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.313/156.775/157.005/0.427 ms
14/07/01-10:43:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.276/156.687/157.233/0.421 ms
14/07/01-10:45:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.459/156.834/157.022/0.409 ms
14/07/01-10:47:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.406/156.681/156.951/0.414 ms
14/07/01-10:48:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.480/156.565/156.731/0.096 ms
14/07/01-10:50:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 156.424/156.627/157.115/0.559 ms
14/07/01-10:52:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.312/156.799/157.134/0.572 ms
14/07/01-10:53:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.381/156.670/156.950/0.420 ms
14/07/01-10:55:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.505/156.686/157.078/0.323 ms
14/07/01-10:56:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.602/156.802/156.942/0.455 ms
14/07/01-10:58:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 156.313/156.783/157.234/0.303 ms
14/07/01-11:00:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.460/156.648/156.916/0.531 ms
14/07/01-11:01:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 156.607/156.835/157.627/0.587 ms
14/07/01-11:03:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.378/156.605/156.963/0.218 ms
14/07/01-11:05:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.432/156.686/157.081/0.492 ms
14/07/01-11:06:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.460/156.966/157.277/0.307 ms
14/07/01-11:08:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.399/156.615/156.810/0.383 ms
14/07/01-11:10:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.384/157.000/157.867/0.554 ms
14/07/01-11:11:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.580/156.669/156.782/0.361 ms
14/07/01-11:13:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.393/156.813/157.229/0.307 ms
14/07/01-11:14:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 156.697/156.807/157.031/0.280 ms
14/07/01-11:16:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.553/156.714/156.970/0.524 ms
14/07/01-11:18:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.508/156.707/156.957/0.533 ms
14/07/01-11:19:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.407/156.688/156.813/0.521 ms
14/07/01-11:21:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.248/156.647/157.124/0.475 ms
14/07/01-11:23:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.364/156.723/157.019/0.492 ms
14/07/01-11:24:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.578/156.906/157.344/0.521 ms
14/07/01-11:26:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.649/156.905/157.351/0.494 ms
14/07/01-11:28:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.338/156.744/157.121/0.374 ms
14/07/01-11:29:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.589/156.870/157.244/0.332 ms
14/07/01-11:31:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.573/156.733/157.219/0.431 ms
14/07/01-11:32:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 156.524/156.747/157.008/0.169 ms
14/07/01-11:34:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 156.304/156.740/157.542/0.489 ms
14/07/01-11:36:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 156.847/156.998/157.166/0.127 ms
14/07/01-11:37:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.727/156.929/157.086/0.514 ms
14/07/01-11:39:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.475/156.959/157.416/0.532 ms
14/07/01-11:41:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.875/156.919/156.973/0.252 ms
14/07/01-11:42:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.481/156.798/157.452/0.616 ms
14/07/01-11:44:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.707/156.846/157.034/0.375 ms
14/07/01-11:46:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.567/156.922/157.416/0.404 ms
14/07/01-11:47:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.882/157.390/158.153/0.675 ms
14/07/01-11:49:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.413/156.807/157.119/0.361 ms
14/07/01-11:51:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 156.649/156.954/157.232/0.474 ms
14/07/01-11:52:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.480/156.658/156.920/0.295 ms
14/07/01-11:54:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.425/156.761/157.160/0.565 ms
14/07/01-11:55:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.648/156.852/157.405/0.282 ms
14/07/01-11:57:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.697/156.981/157.424/0.458 ms
14/07/01-11:59:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 156.620/156.959/157.433/0.510 ms
14/07/01-12:01:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.559/156.850/157.302/0.501 ms
14/07/01-12:02:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.444/156.714/156.927/0.529 ms
14/07/01-12:04:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.344/156.665/156.886/0.470 ms
14/07/01-12:06:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.526/156.671/157.101/0.547 ms
14/07/01-12:08:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 156.473/156.710/156.827/0.279 ms
14/07/01-12:10:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 156.619/156.889/157.175/0.470 ms
14/07/01-12:11:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 156.568/156.867/157.157/0.320 ms
14/07/01-12:13:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 156.736/157.024/157.364/0.353 ms
14/07/01-12:15:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.420/156.794/157.256/0.451 ms
14/07/01-12:17:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 156.736/156.898/157.101/0.461 ms
14/07/01-12:18:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.794/156.987/157.191/0.524 ms
14/07/01-12:20:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.463/157.129/158.870/0.914 ms
