14/07/01-10:02:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 109.660/110.010/110.663/0.431 ms
14/07/01-10:03:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 109.687/109.903/110.563/0.445 ms
14/07/01-10:05:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 109.727/110.013/110.275/0.465 ms
14/07/01-10:06:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 109.704/110.087/110.727/0.498 ms
14/07/01-10:08:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 109.801/109.953/110.207/0.390 ms
14/07/01-10:10:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 109.721/109.984/110.235/0.356 ms
14/07/01-10:11:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 109.765/110.159/110.666/0.425 ms
14/07/01-10:13:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 109.712/110.156/111.040/0.630 ms
14/07/01-10:15:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 109.770/110.139/110.722/0.582 ms
14/07/01-10:16:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 109.663/110.026/110.178/0.281 ms
14/07/01-10:18:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 109.692/110.063/110.564/0.397 ms
14/07/01-10:20:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 109.655/109.974/110.326/0.293 ms
14/07/01-10:21:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 109.728/109.879/110.076/0.438 ms
14/07/01-10:23:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.694/109.969/110.364/0.392 ms
14/07/01-10:24:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 109.705/109.893/110.057/0.138 ms
14/07/01-10:26:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 109.794/110.088/110.431/0.281 ms
14/07/01-10:28:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 109.745/110.043/110.401/0.305 ms
14/07/01-10:29:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 109.753/110.066/110.641/0.482 ms
14/07/01-10:31:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 109.693/110.239/111.705/0.807 ms
14/07/01-10:33:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 109.797/110.216/110.657/0.464 ms
