14/07/01-10:02:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 146.769/147.034/147.237/0.514 ms
14/07/01-10:03:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 146.827/146.881/146.939/0.422 ms
14/07/01-10:05:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 146.814/147.080/147.421/0.430 ms
14/07/01-10:07:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 146.886/147.022/147.224/0.271 ms
14/07/01-10:08:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 146.872/147.093/147.356/0.509 ms
14/07/01-10:10:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 146.831/147.265/147.562/0.360 ms
14/07/01-10:12:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 146.831/146.996/147.305/0.299 ms
14/07/01-10:13:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 147.057/147.702/149.981/1.191 ms
14/07/01-10:15:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 146.933/147.120/147.289/0.446 ms
14/07/01-10:16:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 146.801/146.955/147.109/0.116 ms
14/07/01-10:18:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 146.847/146.949/147.039/0.348 ms
14/07/01-10:20:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 146.774/146.958/147.308/0.310 ms
14/07/01-10:21:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 146.850/146.984/147.057/0.254 ms
14/07/01-10:23:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 146.804/147.056/147.275/0.520 ms
14/07/01-10:25:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 146.763/147.101/147.382/0.198 ms
