14/07/01-10:01:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 139.886/140.166/140.327/0.368 ms
14/07/01-10:03:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 139.930/140.189/140.630/0.431 ms
14/07/01-10:04:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 139.879/140.121/140.331/0.161 ms
14/07/01-10:06:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 139.913/140.220/140.422/0.509 ms
14/07/01-10:08:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 140.023/140.279/140.489/0.297 ms
14/07/01-10:09:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 139.991/140.448/140.777/0.545 ms
14/07/01-10:11:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 139.955/140.026/140.089/0.242 ms
14/07/01-10:13:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 139.933/140.141/140.363/0.155 ms
14/07/01-10:14:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 139.936/140.374/141.290/0.690 ms
14/07/01-10:16:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 139.893/140.227/140.781/0.386 ms
14/07/01-10:17:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 139.888/140.352/141.637/0.731 ms
14/07/01-10:19:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 139.846/140.114/140.411/0.201 ms
14/07/01-10:21:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 140.113/140.191/140.259/0.476 ms
14/07/01-10:22:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 139.919/140.207/140.752/0.507 ms
14/07/01-10:24:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 139.854/140.213/140.814/0.520 ms
14/07/01-10:26:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 139.930/140.202/140.481/0.526 ms
14/07/01-10:27:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 140.058/140.261/140.485/0.380 ms
14/07/01-10:29:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 140.105/140.146/140.192/0.239 ms
14/07/01-10:31:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 139.861/140.463/141.997/0.891 ms
14/07/01-10:32:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 139.933/140.301/140.616/0.549 ms
14/07/01-10:34:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 139.948/140.823/142.654/0.993 ms
