14/07/01-10:01:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 163.307/164.788/166.589/1.163 ms
14/07/01-10:03:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 162.414/163.839/164.880/0.913 ms
14/07/01-10:04:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 161.423/163.445/165.036/1.564 ms
14/07/01-10:06:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 161.498/163.526/164.380/1.154 ms
14/07/01-10:07:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 162.632/163.460/164.220/0.658 ms
14/07/01-10:09:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 161.416/165.103/167.589/2.132 ms
14/07/01-10:11:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 162.140/164.790/167.351/1.768 ms
14/07/01-10:12:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.456/165.935/168.293/1.948 ms
14/07/01-10:14:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 162.451/163.420/164.268/0.713 ms
14/07/01-10:16:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 162.150/163.738/165.362/1.018 ms
14/07/01-10:17:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.048/163.920/164.968/0.749 ms
14/07/01-10:19:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 162.301/163.625/164.949/1.198 ms
14/07/01-10:21:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 162.199/163.426/164.211/0.873 ms
14/07/01-10:22:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 161.796/164.540/168.171/2.151 ms
14/07/01-10:24:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 163.678/163.966/164.421/0.508 ms
14/07/01-10:25:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.807/164.399/164.967/0.656 ms
14/07/01-10:27:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 163.649/164.121/165.539/0.757 ms
14/07/01-10:29:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 163.248/163.846/165.135/0.800 ms
14/07/01-10:30:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 162.989/163.471/164.246/0.551 ms
14/07/01-10:32:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 161.144/163.584/164.732/1.413 ms
14/07/01-10:34:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 162.222/164.374/167.213/1.678 ms
14/07/01-10:35:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.101/163.869/164.668/0.685 ms
14/07/01-10:37:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 162.817/164.247/165.493/0.934 ms
14/07/01-10:39:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 161.335/163.916/166.110/1.603 ms
14/07/01-10:40:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 161.698/163.853/166.668/1.685 ms
14/07/01-10:42:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 161.305/162.818/164.115/0.988 ms
14/07/01-10:44:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 163.717/179.914/194.809/13.276 ms
14/07/01-10:45:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 162.483/164.184/165.555/1.062 ms
14/07/01-10:47:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 161.198/162.481/163.857/1.179 ms
14/07/01-10:48:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 162.910/163.887/164.446/0.515 ms
14/07/01-10:50:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 163.564/164.272/165.035/0.536 ms
14/07/01-10:52:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 162.372/163.692/164.874/1.166 ms
14/07/01-10:53:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 161.875/163.715/164.935/1.159 ms
14/07/01-10:55:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 161.745/164.249/165.416/1.416 ms
14/07/01-10:57:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 162.283/163.765/166.074/1.430 ms
14/07/01-10:58:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 161.799/163.858/167.280/1.998 ms
14/07/01-11:00:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 163.765/164.290/165.332/0.711 ms
14/07/01-11:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 163.625/165.147/166.942/1.191 ms
14/07/01-11:03:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.467/164.162/165.113/0.716 ms
