14/07/01-10:02:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 59.464/59.648/59.960/0.328 ms
14/07/01-10:04:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 59.487/59.634/59.879/0.212 ms
14/07/01-10:05:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 59.496/59.910/60.954/0.568 ms
14/07/01-10:07:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 59.474/59.645/59.920/0.279 ms
14/07/01-10:08:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 59.414/59.544/59.680/0.189 ms
14/07/01-10:10:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 59.493/59.609/59.818/0.329 ms
14/07/01-10:12:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 59.418/59.540/59.670/0.187 ms
14/07/01-10:13:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 59.423/59.522/59.710/0.324 ms
14/07/01-10:15:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 59.365/59.491/59.745/0.131 ms
14/07/01-10:17:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 59.358/59.773/60.776/0.517 ms
14/07/01-10:18:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 59.506/59.735/60.142/0.231 ms
14/07/01-10:20:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 59.397/59.662/59.847/0.312 ms
14/07/01-10:22:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 59.449/59.592/59.686/0.174 ms
