14/07/01-10:02:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 39.435/39.692/40.079/0.282 ms
14/07/01-10:03:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 39.397/39.510/39.626/0.149 ms
14/07/01-10:05:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 39.476/39.652/39.982/0.249 ms
14/07/01-10:07:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 39.592/39.799/40.170/0.310 ms
14/07/01-10:08:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 39.460/39.522/39.559/0.130 ms
14/07/01-10:10:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 39.441/39.998/41.170/0.674 ms
14/07/01-10:12:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 39.377/39.682/39.938/0.293 ms
14/07/01-10:13:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 39.565/40.246/41.428/0.736 ms
14/07/01-10:15:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 39.403/39.684/40.160/0.279 ms
14/07/01-10:17:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 39.432/39.621/39.722/0.273 ms
14/07/01-10:18:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 39.385/39.721/39.916/0.179 ms
14/07/01-10:20:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 39.407/39.798/40.086/0.324 ms
14/07/01-10:21:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 39.454/39.599/39.858/0.259 ms
14/07/01-10:23:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 39.689/39.866/40.135/0.250 ms
14/07/01-10:25:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 39.405/39.715/40.079/0.328 ms
14/07/01-10:26:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 39.400/39.530/39.695/0.276 ms
14/07/01-10:28:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 39.358/39.941/40.330/0.353 ms
14/07/01-10:30:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 39.392/39.629/40.045/0.258 ms
14/07/01-10:31:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 39.334/39.829/40.223/0.433 ms
