14/07/01-10:00:59 - 5 packets transmitted, 5 received, 0% packet loss, time 5159ms rtt min/avg/max/mdev = 122.226/122.313/122.411/0.229 ms
14/07/01-10:02:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.304/122.541/122.742/0.417 ms
14/07/01-10:04:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 122.322/122.567/123.065/0.259 ms
14/07/01-10:05:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 122.307/122.573/122.855/0.217 ms
14/07/01-10:07:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 122.563/122.724/122.847/0.330 ms
14/07/01-10:09:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 122.328/122.541/122.876/0.486 ms
14/07/01-10:10:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.291/122.512/122.771/0.418 ms
14/07/01-10:12:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 122.407/122.648/122.796/0.469 ms
14/07/01-10:14:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 122.311/122.422/122.514/0.448 ms
14/07/01-10:15:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 122.349/122.508/122.635/0.245 ms
14/07/01-10:17:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 122.465/122.582/122.757/0.244 ms
14/07/01-10:18:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 122.379/122.466/122.670/0.454 ms
14/07/01-10:20:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 122.378/122.575/122.784/0.146 ms
14/07/01-10:22:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 122.403/123.679/127.826/2.119 ms
14/07/01-10:23:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 122.283/122.606/123.042/0.374 ms
14/07/01-10:25:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 122.432/122.596/122.878/0.472 ms
14/07/01-10:27:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 122.381/122.512/122.859/0.363 ms
14/07/01-10:28:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 122.387/122.514/122.786/0.469 ms
14/07/01-10:30:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.619/122.827/123.106/0.291 ms
14/07/01-10:32:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 122.291/122.647/123.276/0.370 ms
14/07/01-10:33:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.309/122.753/123.333/0.568 ms
14/07/01-10:35:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 122.376/122.497/122.682/0.396 ms
14/07/01-10:37:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 122.278/122.562/122.838/0.315 ms
14/07/01-10:38:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 122.346/122.720/123.110/0.472 ms
14/07/01-10:40:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 122.305/122.618/123.096/0.360 ms
14/07/01-10:41:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 122.288/122.408/122.695/0.346 ms
14/07/01-10:43:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 122.266/122.545/122.945/0.319 ms
14/07/01-10:45:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 122.352/122.621/123.169/0.291 ms
14/07/01-10:46:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 122.260/122.630/122.973/0.241 ms
14/07/01-10:48:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 122.273/122.614/123.416/0.436 ms
