14/07/01-10:01:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.867/232.941/232.991/0.612 ms
14/07/01-10:03:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.641/232.876/233.136/0.347 ms
14/07/01-10:05:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 232.656/232.854/233.091/0.546 ms
14/07/01-10:06:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.685/232.899/233.377/0.584 ms
14/07/01-10:08:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 232.625/232.942/233.526/0.692 ms
14/07/01-10:10:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.725/233.034/233.570/0.612 ms
14/07/01-10:11:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.706/232.921/233.018/0.326 ms
14/07/01-10:13:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 232.681/232.881/233.244/0.473 ms
14/07/01-10:14:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.670/234.609/241.583/3.490 ms
14/07/01-10:16:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.687/232.792/232.928/0.316 ms
14/07/01-10:18:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 232.670/232.826/232.939/0.091 ms
14/07/01-10:19:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.720/232.877/233.238/0.189 ms
14/07/01-10:21:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 232.765/232.993/233.407/0.575 ms
14/07/01-10:23:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 232.776/232.935/233.129/0.117 ms
14/07/01-10:24:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 232.797/233.120/233.271/0.555 ms
14/07/01-10:26:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 232.827/233.028/233.214/0.548 ms
14/07/01-10:28:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.681/232.817/233.037/0.327 ms
14/07/01-10:29:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.818/233.000/233.279/0.354 ms
14/07/01-10:31:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 232.722/232.948/233.318/0.565 ms
14/07/01-10:32:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.826/233.115/233.594/0.421 ms
14/07/01-10:34:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.746/233.046/233.399/0.236 ms
14/07/01-10:36:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 232.737/232.843/233.068/0.121 ms
14/07/01-10:37:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.700/232.998/233.228/0.475 ms
14/07/01-10:39:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 232.840/232.944/233.152/0.621 ms
14/07/01-10:41:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.876/233.074/233.249/0.333 ms
14/07/01-10:42:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.804/233.073/233.398/0.269 ms
14/07/01-10:44:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 232.668/232.957/233.219/0.489 ms
14/07/01-10:46:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.758/232.966/233.244/0.561 ms
14/07/01-10:47:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 232.692/232.781/232.845/0.612 ms
14/07/01-10:49:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.719/233.177/233.999/0.533 ms
14/07/01-10:51:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.810/233.024/233.292/0.467 ms
14/07/01-10:52:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 228.200/228.397/228.866/0.390 ms
14/07/01-10:54:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.194/228.406/228.652/0.346 ms
14/07/01-10:55:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4008ms rtt min/avg/max/mdev = 228.352/228.465/228.651/0.537 ms
14/07/01-10:57:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 228.233/228.398/228.679/0.549 ms
14/07/01-10:59:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 228.220/228.293/228.446/0.609 ms
14/07/01-11:00:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 228.229/228.375/228.581/0.458 ms
14/07/01-11:02:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.172/228.507/228.676/0.198 ms
14/07/01-11:04:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 228.183/228.312/228.560/0.134 ms
14/07/01-11:05:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 228.232/228.836/230.680/1.073 ms
14/07/01-11:07:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.649/233.010/233.458/0.413 ms
14/07/01-11:09:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.927/233.213/233.542/0.252 ms
14/07/01-11:10:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.690/233.350/235.759/1.280 ms
14/07/01-11:12:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 232.662/232.936/233.408/0.530 ms
14/07/01-11:14:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.701/232.933/233.167/0.362 ms
14/07/01-11:15:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.689/232.867/233.348/0.247 ms
14/07/01-11:17:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 232.696/232.867/233.088/0.624 ms
14/07/01-11:18:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 233.062/233.185/233.260/0.614 ms
14/07/01-11:20:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.763/232.993/233.265/0.358 ms
14/07/01-11:22:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.780/232.954/233.215/0.552 ms
14/07/01-11:23:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.812/233.033/233.353/0.476 ms
14/07/01-11:25:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.833/233.167/234.246/0.621 ms
14/07/01-11:27:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 232.688/233.001/233.475/0.428 ms
14/07/01-11:28:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.767/233.305/233.652/0.449 ms
14/07/01-11:30:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 232.809/233.061/233.357/0.354 ms
14/07/01-11:32:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.773/233.048/233.630/0.609 ms
14/07/01-11:33:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 232.763/233.137/233.487/0.684 ms
14/07/01-11:35:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 232.833/232.983/233.194/0.449 ms
14/07/01-11:36:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 233.092/233.325/233.496/0.628 ms
14/07/01-11:38:34 - 5 packets transmitted, 4 received, 20% packet loss, time 3998ms rtt min/avg/max/mdev = 232.969/233.235/233.691/0.659 ms
14/07/01-11:40:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 238.106/238.555/239.298/0.409 ms
14/07/01-11:41:54 - 5 packets transmitted, 4 received, 20% packet loss, time 3998ms rtt min/avg/max/mdev = 238.069/239.525/241.555/1.381 ms
14/07/01-11:43:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 238.265/238.806/239.519/0.759 ms
14/07/01-11:45:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 238.061/238.420/238.875/0.619 ms
14/07/01-11:46:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 238.075/238.525/239.479/0.660 ms
14/07/01-11:48:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 238.385/238.643/239.424/0.587 ms
14/07/01-11:50:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 238.201/238.550/238.953/0.528 ms
14/07/01-11:51:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 238.188/238.628/239.436/0.530 ms
14/07/01-11:53:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 238.200/239.015/239.971/0.852 ms
14/07/01-11:55:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 238.430/238.809/239.648/0.615 ms
14/07/01-11:56:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 238.690/239.275/239.920/0.457 ms
14/07/01-11:58:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 238.223/238.697/239.228/0.545 ms
14/07/01-12:00:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 238.752/240.007/243.360/1.808 ms
14/07/01-12:01:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 228.310/228.550/229.132/0.304 ms
14/07/01-12:03:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 228.348/228.784/229.343/0.445 ms
14/07/01-12:05:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3997ms rtt min/avg/max/mdev = 228.336/228.663/229.067/0.534 ms
14/07/01-12:07:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 228.531/228.865/229.068/0.469 ms
14/07/01-12:09:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 228.361/228.527/228.891/0.558 ms
14/07/01-12:10:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3996ms rtt min/avg/max/mdev = 228.461/228.580/228.660/0.437 ms
14/07/01-12:12:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 228.248/228.670/229.089/0.280 ms
14/07/01-12:14:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 228.432/228.557/228.729/0.536 ms
14/07/01-12:16:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 228.600/228.830/229.387/0.413 ms
14/07/01-12:18:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 228.266/228.722/229.180/0.432 ms
14/07/01-12:19:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 228.335/228.589/228.725/0.135 ms
14/07/01-12:21:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 228.282/228.498/228.809/0.199 ms
14/07/01-12:23:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 232.738/232.878/233.122/0.628 ms
14/07/01-12:25:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 233.000/233.656/235.420/1.043 ms
