14/07/01-10:02:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 274.187/274.604/275.080/0.753 ms
14/07/01-10:04:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.143/274.463/275.324/0.648 ms
14/07/01-10:06:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.299/274.369/274.482/0.337 ms
14/07/01-10:07:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 274.289/274.648/275.202/0.738 ms
14/07/01-10:09:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 274.152/274.352/274.593/0.383 ms
14/07/01-10:10:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.001/274.252/274.386/0.357 ms
14/07/01-10:12:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 273.924/274.101/274.322/0.591 ms
14/07/01-10:14:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 274.047/274.285/274.754/0.254 ms
14/07/01-10:15:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 274.245/274.987/276.745/1.142 ms
14/07/01-10:17:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 274.134/274.610/275.412/0.811 ms
14/07/01-10:19:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 274.263/274.791/275.724/0.771 ms
14/07/01-10:20:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 274.099/274.635/276.178/0.915 ms
14/07/01-10:22:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 274.111/274.636/275.251/0.781 ms
