14/07/01-10:02:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.297/323.445/323.678/0.734 ms
14/07/01-10:04:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.297/323.440/323.754/0.164 ms
14/07/01-10:06:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.306/323.357/323.413/0.034 ms
14/07/01-10:07:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.309/323.439/323.759/0.737 ms
14/07/01-10:09:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.334/323.358/323.385/0.508 ms
14/07/01-10:11:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.342/323.781/325.190/1.012 ms
14/07/01-10:12:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.302/324.211/326.892/1.413 ms
14/07/01-10:14:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.327/323.479/323.764/0.157 ms
14/07/01-10:16:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 323.232/323.345/323.511/0.371 ms
14/07/01-10:17:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.370/323.390/323.412/0.623 ms
14/07/01-10:19:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.299/323.364/323.446/0.721 ms
14/07/01-10:21:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.249/323.303/323.356/0.361 ms
14/07/01-10:22:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.296/323.335/323.373/0.623 ms
14/07/01-10:24:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.292/323.396/323.463/0.625 ms
14/07/01-10:25:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.269/323.396/323.537/0.517 ms
14/07/01-10:27:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.320/323.412/323.526/0.369 ms
14/07/01-10:29:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.320/323.593/324.591/0.712 ms
14/07/01-10:30:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.289/323.372/323.482/0.513 ms
14/07/01-10:32:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.341/323.375/323.400/0.025 ms
14/07/01-10:34:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.308/323.652/324.885/0.800 ms
14/07/01-10:35:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 324.034/324.658/325.429/0.898 ms
14/07/01-10:37:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 323.354/323.389/323.489/0.050 ms
14/07/01-10:39:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.292/323.480/323.787/0.648 ms
14/07/01-10:40:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 323.316/323.679/324.621/0.788 ms
14/07/01-10:42:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.334/323.423/323.590/0.090 ms
14/07/01-10:43:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 323.317/323.397/323.521/0.073 ms
14/07/01-10:45:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.278/323.396/323.563/0.630 ms
14/07/01-10:47:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.255/323.335/323.386/0.510 ms
14/07/01-10:48:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 323.307/323.467/323.668/0.522 ms
14/07/01-10:50:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.322/323.366/323.418/0.509 ms
14/07/01-10:52:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.282/323.370/323.523/0.088 ms
14/07/01-10:53:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 323.344/324.062/325.288/1.095 ms
14/07/01-10:55:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.287/323.336/323.388/0.509 ms
14/07/01-10:57:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 323.309/323.409/323.472/0.063 ms
14/07/01-10:58:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.275/323.452/323.636/0.525 ms
14/07/01-11:00:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.294/323.356/323.459/0.721 ms
14/07/01-11:02:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 323.294/323.442/323.795/0.540 ms
14/07/01-11:03:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 323.209/323.353/323.518/0.726 ms
14/07/01-11:05:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.307/323.382/323.515/0.075 ms
14/07/01-11:06:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 323.320/323.402/323.534/0.513 ms
