14/07/01-10:02:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.587/42.633/42.742/0.233 ms
14/07/01-10:04:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.536/42.705/42.960/0.299 ms
14/07/01-10:05:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 42.598/42.700/42.921/0.175 ms
14/07/01-10:07:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.611/42.629/42.664/0.227 ms
14/07/01-10:08:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.598/42.684/42.967/0.267 ms
14/07/01-10:10:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.567/42.600/42.695/0.265 ms
14/07/01-10:12:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 42.570/42.626/42.670/0.038 ms
14/07/01-10:13:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.606/42.872/43.840/0.501 ms
14/07/01-10:15:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.562/42.627/42.656/0.187 ms
14/07/01-10:17:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 42.578/42.717/43.215/0.249 ms
14/07/01-10:18:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.540/42.568/42.603/0.023 ms
14/07/01-10:20:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 42.576/42.957/44.326/0.697 ms
14/07/01-10:22:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.554/42.748/43.261/0.344 ms
14/07/01-10:23:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.551/42.630/42.792/0.156 ms
14/07/01-10:25:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.580/42.668/42.880/0.250 ms
14/07/01-10:26:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 42.563/42.610/42.675/0.229 ms
14/07/01-10:28:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 42.504/42.540/42.625/0.137 ms
