14/07/01-10:02:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.850/44.063/44.342/0.255 ms
14/07/01-10:03:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.855/43.904/43.959/0.267 ms
14/07/01-10:05:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.874/43.927/44.012/0.142 ms
14/07/01-10:07:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.860/43.952/44.032/0.143 ms
14/07/01-10:08:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.965/44.041/44.253/0.286 ms
14/07/01-10:10:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.826/43.885/43.924/0.035 ms
14/07/01-10:12:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.896/43.962/44.068/0.147 ms
14/07/01-10:13:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.929/44.004/44.139/0.071 ms
14/07/01-10:15:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.858/44.018/44.530/0.369 ms
14/07/01-10:16:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 43.798/43.913/44.023/0.241 ms
14/07/01-10:18:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.869/43.963/44.137/0.162 ms
14/07/01-10:20:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.791/43.858/43.912/0.139 ms
14/07/01-10:21:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.887/43.935/44.060/0.198 ms
14/07/01-10:23:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.932/43.967/44.008/0.267 ms
14/07/01-10:25:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.863/43.934/43.999/0.193 ms
14/07/01-10:26:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 43.923/43.975/44.017/0.034 ms
14/07/01-10:28:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.826/43.903/43.984/0.271 ms
14/07/01-10:30:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 43.784/43.959/44.056/0.093 ms
