14/07/01-10:03:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.200/123.698/124.424/0.574 ms
14/07/01-10:04:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.152/123.484/123.919/0.459 ms
14/07/01-10:06:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.260/123.560/123.934/0.519 ms
14/07/01-10:08:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.168/123.782/125.677/1.051 ms
14/07/01-10:09:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.289/123.403/123.506/0.450 ms
14/07/01-10:11:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 123.398/123.605/124.031/0.515 ms
14/07/01-10:13:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.204/123.366/123.523/0.124 ms
14/07/01-10:14:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.256/123.478/123.669/0.350 ms
14/07/01-10:16:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.155/123.455/123.887/0.278 ms
14/07/01-10:18:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.196/123.433/123.645/0.474 ms
14/07/01-10:19:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.176/123.500/123.828/0.462 ms
14/07/01-10:21:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.380/123.600/123.800/0.276 ms
14/07/01-10:23:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 123.181/123.358/123.482/0.460 ms
14/07/01-10:24:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.231/123.473/123.886/0.249 ms
14/07/01-10:26:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 123.272/123.919/125.332/0.749 ms
14/07/01-10:27:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.273/123.532/123.986/0.342 ms
14/07/01-10:29:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.179/123.436/123.769/0.315 ms
14/07/01-10:31:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.202/124.016/125.864/1.029 ms
14/07/01-10:32:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.206/123.495/123.627/0.353 ms
14/07/01-10:34:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.151/123.518/123.805/0.474 ms
14/07/01-10:36:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 123.127/123.682/124.701/0.725 ms
14/07/01-10:37:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.423/123.524/123.704/0.399 ms
14/07/01-10:39:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.290/123.502/123.934/0.326 ms
14/07/01-10:41:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.276/123.645/124.079/0.464 ms
14/07/01-10:42:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.382/123.534/123.683/0.406 ms
14/07/01-10:44:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.114/123.367/124.029/0.510 ms
14/07/01-10:45:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.424/123.612/123.966/0.483 ms
14/07/01-10:47:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 123.378/123.770/124.893/0.647 ms
14/07/01-10:49:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.312/123.679/124.209/0.334 ms
14/07/01-10:50:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.239/123.481/123.895/0.505 ms
14/07/01-10:52:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.402/123.584/123.954/0.436 ms
14/07/01-10:54:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.328/123.481/123.775/0.471 ms
14/07/01-10:55:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.286/123.609/123.971/0.404 ms
14/07/01-10:57:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.298/123.543/124.116/0.435 ms
14/07/01-10:59:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.378/123.534/123.699/0.464 ms
14/07/01-11:00:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.221/123.360/123.751/0.199 ms
14/07/01-11:02:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.300/123.980/125.528/0.792 ms
14/07/01-11:03:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.173/123.527/123.780/0.263 ms
14/07/01-11:05:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.326/123.537/123.866/0.383 ms
14/07/01-11:07:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.252/123.575/123.737/0.360 ms
14/07/01-11:08:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.342/123.477/123.822/0.361 ms
14/07/01-11:10:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4021ms rtt min/avg/max/mdev = 137.986/143.758/146.414/3.322 ms
14/07/01-11:12:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.363/123.578/123.773/0.465 ms
14/07/01-11:13:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.298/123.486/123.770/0.473 ms
14/07/01-11:15:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.370/123.613/123.957/0.433 ms
14/07/01-11:17:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.205/123.579/123.834/0.463 ms
14/07/01-11:18:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.366/123.543/123.927/0.498 ms
14/07/01-11:20:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.374/123.656/124.024/0.321 ms
14/07/01-11:22:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.367/123.601/123.879/0.497 ms
14/07/01-11:23:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.340/123.509/123.718/0.342 ms
14/07/01-11:25:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.513/123.832/124.615/0.597 ms
14/07/01-11:26:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 123.361/123.557/123.932/0.486 ms
14/07/01-11:28:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 123.189/123.676/124.306/0.515 ms
14/07/01-11:30:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.160/123.604/123.825/0.394 ms
14/07/01-11:31:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.330/123.910/124.734/0.536 ms
14/07/01-11:33:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.239/123.543/123.819/0.432 ms
14/07/01-11:35:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.428/123.617/123.907/0.356 ms
14/07/01-11:36:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.396/123.614/123.837/0.140 ms
14/07/01-11:38:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.275/123.810/124.661/0.566 ms
14/07/01-11:40:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.390/123.799/124.225/0.488 ms
14/07/01-11:41:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.326/123.865/124.296/0.394 ms
14/07/01-11:43:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.494/123.664/123.876/0.157 ms
14/07/01-11:44:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.417/123.571/123.745/0.335 ms
14/07/01-11:46:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.142/123.700/124.169/0.449 ms
14/07/01-11:48:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.499/123.810/124.373/0.374 ms
14/07/01-11:49:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.305/123.611/123.887/0.508 ms
14/07/01-11:51:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.461/123.658/123.900/0.469 ms
14/07/01-11:53:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.579/123.876/124.392/0.352 ms
14/07/01-11:54:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.357/123.577/123.816/0.353 ms
14/07/01-11:56:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.438/123.618/123.909/0.167 ms
14/07/01-11:58:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.514/124.678/128.063/1.761 ms
14/07/01-11:59:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 123.366/123.482/123.633/0.395 ms
14/07/01-12:01:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.260/123.480/123.947/0.506 ms
14/07/01-12:03:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.306/123.607/123.847/0.432 ms
14/07/01-12:05:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.357/123.632/124.246/0.451 ms
14/07/01-12:06:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.366/123.624/124.034/0.445 ms
14/07/01-12:08:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.219/123.562/123.833/0.208 ms
14/07/01-12:10:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.337/123.659/124.289/0.472 ms
14/07/01-12:12:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.400/123.719/124.156/0.308 ms
14/07/01-12:13:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.454/125.795/134.015/4.137 ms
14/07/01-12:15:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.262/123.448/123.921/0.328 ms
14/07/01-12:17:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.533/123.779/124.119/0.374 ms
14/07/01-12:19:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.235/123.555/124.011/0.404 ms
14/07/01-12:20:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.354/123.739/124.158/0.392 ms
14/07/01-12:22:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.444/123.872/124.203/0.468 ms
14/07/01-12:24:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 123.377/124.195/127.058/1.450 ms
14/07/01-12:26:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.521/123.668/123.807/0.402 ms
14/07/01-12:28:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.265/123.541/123.726/0.150 ms
14/07/01-12:29:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.642/123.818/124.109/0.159 ms
14/07/01-12:31:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.260/123.745/123.966/0.467 ms
14/07/01-12:33:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.333/123.789/123.993/0.240 ms
14/07/01-12:35:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.431/123.722/124.132/0.241 ms
14/07/01-12:37:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.280/123.656/124.173/0.491 ms
14/07/01-12:39:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.410/123.814/123.990/0.440 ms
14/07/01-12:40:50 - 5 packets transmitted, 4 received, 20% packet loss, time 4005ms rtt min/avg/max/mdev = 123.474/123.752/124.319/0.486 ms
14/07/01-12:42:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4014ms rtt min/avg/max/mdev = 123.231/123.540/123.897/0.247 ms
14/07/01-12:44:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 123.488/123.901/124.527/0.523 ms
14/07/01-12:46:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.618/123.853/124.185/0.433 ms
14/07/01-12:48:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.392/123.816/124.477/0.456 ms
14/07/01-12:49:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.354/123.768/124.234/0.546 ms
14/07/01-12:51:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.388/123.947/124.941/0.617 ms
14/07/01-12:53:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.406/123.909/124.379/0.363 ms
14/07/01-12:55:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.449/123.833/124.519/0.501 ms
14/07/01-12:57:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.440/123.633/123.964/0.224 ms
14/07/01-12:58:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 123.856/124.117/124.623/0.356 ms
14/07/01-13:00:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.723/123.910/124.448/0.524 ms
14/07/01-13:02:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.403/124.297/126.901/1.320 ms
14/07/01-13:03:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.452/123.882/124.670/0.456 ms
14/07/01-13:05:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.317/123.680/124.605/0.563 ms
14/07/01-13:07:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 123.245/123.597/123.823/0.295 ms
14/07/01-13:08:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.779/124.222/124.735/0.572 ms
14/07/01-13:10:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 123.415/123.874/124.669/0.620 ms
14/07/01-13:12:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.616/124.061/124.651/0.628 ms
14/07/01-13:13:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.407/123.659/123.906/0.362 ms
14/07/01-13:15:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.560/124.052/124.553/0.446 ms
14/07/01-13:17:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.927/123.974/124.020/0.225 ms
14/07/01-13:18:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.564/123.917/124.471/0.401 ms
14/07/01-13:20:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 123.593/123.963/124.650/0.532 ms
14/07/01-13:21:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.438/123.836/124.395/0.385 ms
14/07/01-13:23:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.288/123.681/124.041/0.296 ms
14/07/01-13:25:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 123.546/124.516/127.332/1.477 ms
14/07/01-13:26:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.279/125.047/130.796/2.880 ms
14/07/01-13:28:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 123.474/123.621/123.915/0.417 ms
14/07/01-13:30:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 123.598/124.330/126.201/1.083 ms
14/07/01-13:31:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.515/124.293/126.002/0.878 ms
14/07/01-13:33:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.606/123.831/123.961/0.406 ms
14/07/01-13:35:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.377/124.040/125.372/0.795 ms
14/07/01-13:36:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 123.494/123.900/124.373/0.576 ms
14/07/01-13:38:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.561/123.964/124.362/0.410 ms
14/07/01-13:39:59 - 5 packets transmitted, 4 received, 20% packet loss, time 4010ms rtt min/avg/max/mdev = 123.429/123.908/124.725/0.557 ms
14/07/01-13:41:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.327/124.514/127.931/1.750 ms
14/07/01-13:43:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 123.755/124.488/125.883/0.940 ms
14/07/01-13:44:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 123.313/123.744/124.567/0.620 ms
14/07/01-13:46:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 123.808/124.179/125.105/0.654 ms
