14/07/01-10:03:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.684/271.751/271.841/0.469 ms
14/07/01-10:04:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.609/271.709/271.867/0.666 ms
14/07/01-10:06:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.664/271.742/271.807/0.048 ms
14/07/01-10:08:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 271.626/271.753/271.978/0.360 ms
14/07/01-10:09:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.665/271.713/271.822/0.661 ms
14/07/01-10:11:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.683/271.765/271.831/0.574 ms
14/07/01-10:13:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 271.750/271.880/272.124/0.673 ms
14/07/01-10:14:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 271.697/272.262/273.228/0.852 ms
14/07/01-10:16:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.639/271.748/271.841/0.339 ms
14/07/01-10:17:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.638/272.346/274.689/1.219 ms
14/07/01-10:19:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 271.612/271.765/272.038/0.592 ms
14/07/01-10:21:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.571/272.497/274.106/1.102 ms
14/07/01-10:22:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.593/271.897/272.596/0.504 ms
14/07/01-10:24:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.637/271.819/272.244/0.513 ms
14/07/01-10:26:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 271.637/271.731/271.892/0.474 ms
14/07/01-10:27:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.652/271.737/271.832/0.336 ms
14/07/01-10:29:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 271.648/271.866/272.399/0.632 ms
14/07/01-10:31:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 271.631/271.753/271.876/0.079 ms
14/07/01-10:32:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 271.690/271.701/271.724/0.571 ms
