14/07/01-10:02:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 67.584/67.738/68.058/0.285 ms
14/07/01-10:04:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.657/67.677/67.714/0.166 ms
14/07/01-10:05:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.541/67.639/67.748/0.065 ms
14/07/01-10:07:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.641/67.736/67.802/0.055 ms
14/07/01-10:09:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.532/67.766/68.324/0.329 ms
14/07/01-10:10:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.599/67.703/67.804/0.241 ms
14/07/01-10:12:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.542/67.867/68.436/0.361 ms
14/07/01-10:14:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.695/67.742/67.771/0.286 ms
14/07/01-10:15:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.609/67.948/69.029/0.566 ms
14/07/01-10:17:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.668/67.704/67.731/0.233 ms
14/07/01-10:18:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.619/67.686/67.751/0.332 ms
14/07/01-10:20:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.601/67.692/67.754/0.057 ms
14/07/01-10:22:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.615/67.876/68.758/0.471 ms
14/07/01-10:23:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.640/67.697/67.767/0.237 ms
14/07/01-10:25:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.495/67.700/67.790/0.196 ms
14/07/01-10:27:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.649/67.696/67.810/0.240 ms
14/07/01-10:28:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 67.657/67.753/67.819/0.335 ms
14/07/01-10:30:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.688/67.745/67.808/0.288 ms
14/07/01-10:32:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.702/67.725/67.760/0.329 ms
14/07/01-10:33:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.578/67.658/67.789/0.336 ms
14/07/01-10:35:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 67.653/67.721/67.792/0.332 ms
14/07/01-10:36:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.690/67.720/67.743/0.019 ms
14/07/01-10:38:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.510/67.630/67.795/0.251 ms
14/07/01-10:40:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.693/67.888/68.481/0.379 ms
14/07/01-10:41:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 67.569/67.649/67.686/0.236 ms
14/07/01-10:43:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 67.601/67.699/67.768/0.291 ms
14/07/01-10:45:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.549/67.670/67.877/0.347 ms
14/07/01-10:46:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.609/67.775/67.948/0.305 ms
14/07/01-10:48:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.579/67.665/67.710/0.047 ms
14/07/01-10:50:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.646/67.769/68.039/0.270 ms
14/07/01-10:51:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.658/67.692/67.747/0.330 ms
14/07/01-10:53:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.606/67.704/67.766/0.336 ms
14/07/01-10:55:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.694/67.724/67.747/0.285 ms
14/07/01-10:56:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 67.723/67.747/67.779/0.021 ms
14/07/01-10:58:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 67.636/67.725/67.809/0.290 ms
14/07/01-10:59:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.586/67.671/67.813/0.182 ms
14/07/01-11:01:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.671/67.727/67.777/0.331 ms
14/07/01-11:03:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 67.617/67.758/67.911/0.342 ms
14/07/01-11:04:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.666/67.705/67.792/0.045 ms
14/07/01-11:06:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.591/67.673/67.750/0.172 ms
