14/07/01-10:02:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.955/177.213/177.484/0.433 ms
14/07/01-10:03:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.200/177.490/178.421/0.708 ms
14/07/01-10:05:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.084/177.363/177.875/0.549 ms
14/07/01-10:07:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.222/177.606/178.179/0.573 ms
14/07/01-10:08:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.052/177.331/177.533/0.491 ms
14/07/01-10:10:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.002/177.266/177.436/0.487 ms
14/07/01-10:12:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.966/180.202/183.676/2.283 ms
14/07/01-10:13:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.310/183.071/190.490/5.161 ms
14/07/01-10:15:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.632/179.101/181.861/1.546 ms
14/07/01-10:17:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.248/177.420/177.949/0.268 ms
14/07/01-10:18:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 176.986/177.213/177.361/0.548 ms
14/07/01-10:20:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.984/177.335/177.529/0.192 ms
14/07/01-10:21:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.193/177.459/177.924/0.534 ms
14/07/01-10:23:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.168/177.423/177.927/0.533 ms
14/07/01-10:25:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 176.892/177.172/177.294/0.142 ms
14/07/01-10:26:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.292/177.455/177.746/0.318 ms
14/07/01-10:28:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.049/177.477/178.182/0.584 ms
14/07/01-10:30:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 177.209/177.726/178.958/0.685 ms
14/07/01-10:31:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 178.358/180.063/181.451/1.286 ms
14/07/01-10:33:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.127/177.485/177.685/0.426 ms
14/07/01-10:35:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.104/177.169/177.234/0.271 ms
14/07/01-10:36:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.054/177.273/177.446/0.141 ms
14/07/01-10:38:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.004/177.281/177.556/0.318 ms
14/07/01-10:39:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.195/177.418/177.639/0.497 ms
14/07/01-10:41:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.960/177.160/177.341/0.296 ms
14/07/01-10:43:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.080/177.285/177.469/0.481 ms
14/07/01-10:44:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.138/177.428/177.810/0.449 ms
14/07/01-10:46:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 177.289/177.544/178.127/0.550 ms
14/07/01-10:48:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.240/177.646/178.564/0.671 ms
14/07/01-10:49:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.454/177.809/178.367/0.473 ms
14/07/01-10:51:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.203/177.898/179.276/0.824 ms
14/07/01-10:53:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.146/181.124/188.263/3.944 ms
14/07/01-10:54:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.337/177.833/178.710/0.716 ms
14/07/01-10:56:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.193/178.636/181.204/1.775 ms
14/07/01-10:58:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.043/179.942/184.676/3.553 ms
14/07/01-10:59:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.297/178.630/182.319/1.930 ms
14/07/01-11:01:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.502/180.906/187.866/3.748 ms
14/07/01-11:02:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.054/177.879/179.564/1.018 ms
14/07/01-11:04:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 176.915/177.366/177.850/0.485 ms
14/07/01-11:06:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.034/177.377/177.759/0.389 ms
14/07/01-11:07:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.315/178.136/179.233/0.739 ms
14/07/01-11:09:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.889/177.572/179.392/1.061 ms
14/07/01-11:11:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.057/177.716/178.519/0.682 ms
14/07/01-11:12:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.268/179.486/184.893/2.803 ms
14/07/01-11:14:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.293/179.742/188.651/4.464 ms
14/07/01-11:16:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.053/177.466/178.485/0.547 ms
14/07/01-11:17:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.146/177.447/178.339/0.645 ms
14/07/01-11:19:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.050/177.234/177.350/0.284 ms
14/07/01-11:20:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 176.939/177.125/177.277/0.302 ms
14/07/01-11:22:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.073/177.469/177.967/0.563 ms
14/07/01-11:24:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 176.924/177.310/177.501/0.503 ms
14/07/01-11:25:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.261/177.764/179.408/0.947 ms
14/07/01-11:27:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 176.961/177.266/177.522/0.336 ms
14/07/01-11:29:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.937/177.158/177.446/0.410 ms
14/07/01-11:30:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.078/177.343/177.753/0.370 ms
14/07/01-11:32:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.182/179.579/188.643/4.540 ms
14/07/01-11:34:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.064/177.286/177.624/0.217 ms
14/07/01-11:35:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.059/177.243/177.357/0.543 ms
14/07/01-11:37:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 176.895/177.217/177.375/0.559 ms
14/07/01-11:38:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.095/177.287/177.580/0.422 ms
14/07/01-11:40:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.092/177.173/177.336/0.280 ms
14/07/01-11:42:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.009/177.172/177.350/0.293 ms
14/07/01-11:43:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.221/177.421/177.586/0.550 ms
14/07/01-11:45:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 176.782/177.022/177.228/0.193 ms
14/07/01-11:47:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.314/177.432/177.745/0.411 ms
14/07/01-11:48:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.559/177.762/178.102/0.194 ms
14/07/01-11:50:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.532/182.749/191.653/5.578 ms
14/07/01-11:52:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.715/178.311/178.686/0.641 ms
14/07/01-11:53:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.111/177.491/178.013/0.310 ms
14/07/01-11:55:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.075/177.361/178.140/0.393 ms
14/07/01-11:56:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.201/178.492/179.788/1.219 ms
14/07/01-11:58:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.045/177.630/178.472/0.821 ms
14/07/01-12:00:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.041/177.386/177.719/0.521 ms
14/07/01-12:02:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 176.954/177.146/177.269/0.544 ms
14/07/01-12:03:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 176.990/177.514/178.911/0.800 ms
14/07/01-12:05:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.291/177.724/178.414/0.658 ms
14/07/01-12:07:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.901/177.228/177.763/0.406 ms
14/07/01-12:09:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.259/177.445/178.032/0.547 ms
14/07/01-12:11:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.146/177.605/178.570/0.656 ms
14/07/01-12:12:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.135/177.612/178.717/0.762 ms
14/07/01-12:14:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 177.182/177.956/179.099/0.821 ms
14/07/01-12:16:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 177.164/177.252/177.363/0.078 ms
14/07/01-12:17:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.111/177.256/177.342/0.386 ms
14/07/01-12:19:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.082/177.614/178.891/0.842 ms
14/07/01-12:21:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.172/177.670/179.168/0.921 ms
14/07/01-12:23:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.352/182.632/192.780/6.060 ms
14/07/01-12:25:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.043/177.216/177.404/0.478 ms
14/07/01-12:26:59 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 176.999/177.347/177.463/0.176 ms
14/07/01-12:28:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.130/177.566/178.194/0.517 ms
14/07/01-12:30:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.222/177.518/178.110/0.618 ms
14/07/01-12:32:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.096/177.365/177.776/0.522 ms
14/07/01-12:34:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.003/177.435/178.454/0.612 ms
14/07/01-12:36:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.204/177.482/178.128/0.430 ms
14/07/01-12:37:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.962/177.295/177.644/0.373 ms
14/07/01-12:39:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.120/177.535/178.677/0.583 ms
14/07/01-12:41:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.231/177.862/178.612/0.811 ms
14/07/01-12:43:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.070/177.724/178.419/0.677 ms
14/07/01-12:45:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.101/177.550/178.590/0.607 ms
14/07/01-12:46:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.140/180.464/192.465/6.018 ms
14/07/01-12:48:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.268/178.028/179.086/0.828 ms
14/07/01-12:50:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.141/177.502/177.840/0.348 ms
14/07/01-12:52:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 176.985/177.357/178.122/0.672 ms
