14/07/01-10:03:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 215.650/219.583/223.773/3.548 ms
14/07/01-10:04:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.477/220.713/227.961/4.169 ms
14/07/01-10:06:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.290/220.155/220.749/0.982 ms
14/07/01-10:08:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 220.602/223.032/227.695/2.576 ms
14/07/01-10:09:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.813/220.227/223.489/2.957 ms
14/07/01-10:11:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 215.417/219.852/223.155/2.564 ms
14/07/01-10:12:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 219.262/221.440/223.240/1.486 ms
14/07/01-10:14:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 215.446/222.539/231.563/5.364 ms
14/07/01-10:16:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.792/221.433/228.859/4.348 ms
14/07/01-10:17:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.313/219.669/223.162/3.207 ms
14/07/01-10:19:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 219.532/223.136/228.684/3.220 ms
14/07/01-10:21:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.874/219.466/220.796/1.688 ms
14/07/01-10:22:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.653/221.738/228.198/5.380 ms
14/07/01-10:24:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.511/219.701/223.201/2.136 ms
14/07/01-10:26:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 215.448/221.951/231.538/5.739 ms
14/07/01-10:27:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.103/220.965/223.254/2.239 ms
14/07/01-10:29:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.402/219.078/223.077/2.769 ms
14/07/01-10:30:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.757/219.566/220.895/1.231 ms
14/07/01-10:32:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.883/221.220/231.686/5.462 ms
14/07/01-10:34:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.847/219.945/223.021/1.916 ms
14/07/01-10:35:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.194/220.065/220.771/0.853 ms
14/07/01-10:37:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.473/218.115/220.775/2.120 ms
14/07/01-10:39:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.778/217.158/219.364/1.233 ms
14/07/01-10:40:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.891/219.615/223.058/2.407 ms
14/07/01-10:42:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.632/221.077/227.824/4.184 ms
14/07/01-10:44:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.581/220.798/228.394/4.525 ms
14/07/01-10:45:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.424/219.698/224.136/3.680 ms
14/07/01-10:47:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 218.332/224.109/231.683/5.203 ms
14/07/01-10:48:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.665/222.987/231.692/5.792 ms
14/07/01-10:50:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.853/219.161/220.786/1.587 ms
14/07/01-10:52:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.858/218.739/220.791/1.295 ms
14/07/01-10:53:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 219.398/224.040/231.682/4.861 ms
14/07/01-10:55:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.278/224.305/238.075/7.009 ms
14/07/01-10:57:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.397/218.619/220.833/2.118 ms
14/07/01-10:58:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 219.307/223.434/227.855/2.764 ms
14/07/01-11:00:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 219.072/220.821/223.241/1.441 ms
14/07/01-11:02:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 219.281/219.431/219.762/0.620 ms
14/07/01-11:03:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.361/219.508/227.864/4.342 ms
14/07/01-11:05:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.068/219.044/220.571/1.416 ms
14/07/01-11:07:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4011ms rtt min/avg/max/mdev = 215.576/217.022/220.197/1.764 ms
14/07/01-11:08:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.540/219.633/223.437/2.723 ms
14/07/01-11:10:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.483/219.766/227.842/4.959 ms
14/07/01-11:11:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.256/221.122/227.800/3.495 ms
14/07/01-11:13:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.708/219.593/223.087/2.513 ms
14/07/01-11:15:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.775/221.656/227.871/3.837 ms
14/07/01-11:16:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.216/220.105/220.826/0.870 ms
14/07/01-11:18:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 219.280/222.112/229.139/3.582 ms
14/07/01-11:20:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.892/219.716/223.928/2.432 ms
14/07/01-11:21:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.511/220.125/223.784/3.337 ms
14/07/01-11:23:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 219.679/222.298/227.910/3.082 ms
14/07/01-11:25:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 218.179/221.347/227.880/3.782 ms
14/07/01-11:26:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.480/217.723/221.459/2.103 ms
14/07/01-11:28:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.813/220.525/227.537/4.299 ms
14/07/01-11:29:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 216.846/220.706/228.057/3.958 ms
14/07/01-11:31:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.441/218.854/220.946/2.016 ms
14/07/01-11:33:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.410/219.004/223.170/2.717 ms
14/07/01-11:34:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 216.787/220.493/227.799/4.036 ms
14/07/01-11:36:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 215.299/217.425/221.041/2.542 ms
14/07/01-11:38:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.534/220.129/227.797/4.297 ms
14/07/01-11:39:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 219.223/220.521/221.048/0.898 ms
14/07/01-11:41:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.210/221.039/227.917/3.552 ms
14/07/01-11:43:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 215.539/219.313/220.692/2.008 ms
14/07/01-11:44:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.368/220.092/220.717/0.692 ms
14/07/01-11:46:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.506/223.089/229.296/5.098 ms
14/07/01-11:47:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.736/224.945/231.837/5.504 ms
14/07/01-11:49:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.434/220.931/223.105/1.271 ms
14/07/01-11:51:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 219.405/222.509/231.420/4.492 ms
14/07/01-11:52:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.790/219.110/220.846/1.530 ms
14/07/01-11:54:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 219.566/220.441/221.082/0.717 ms
14/07/01-11:56:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.435/219.808/227.907/4.546 ms
14/07/01-11:57:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.671/220.573/227.784/4.432 ms
14/07/01-11:59:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.976/219.568/223.180/1.924 ms
14/07/01-12:01:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 216.041/220.959/223.649/2.843 ms
14/07/01-12:03:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.608/217.325/220.636/1.720 ms
14/07/01-12:04:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.472/217.908/219.501/1.649 ms
14/07/01-12:06:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.479/217.733/219.323/1.925 ms
14/07/01-12:08:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.677/219.794/227.875/4.173 ms
14/07/01-12:10:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 215.563/221.354/229.443/4.776 ms
14/07/01-12:12:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.479/219.975/223.075/2.833 ms
14/07/01-12:13:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 217.043/221.581/228.865/4.381 ms
14/07/01-12:15:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.151/218.815/220.627/1.188 ms
14/07/01-12:17:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.398/220.951/228.845/4.624 ms
14/07/01-12:18:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.875/219.321/220.704/1.552 ms
14/07/01-12:20:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 215.465/217.979/220.538/2.109 ms
14/07/01-12:22:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.711/221.114/227.767/4.163 ms
14/07/01-12:24:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.005/218.528/221.006/1.814 ms
14/07/01-12:26:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.904/220.094/221.332/0.798 ms
14/07/01-12:27:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.782/220.418/223.206/2.556 ms
14/07/01-12:29:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.729/219.766/222.893/2.161 ms
14/07/01-12:31:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 215.423/219.003/221.060/2.407 ms
14/07/01-12:33:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.892/222.737/231.661/5.989 ms
14/07/01-12:35:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.827/222.667/231.681/4.944 ms
14/07/01-12:36:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.459/221.836/228.844/3.967 ms
14/07/01-12:38:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.363/220.981/229.082/4.864 ms
14/07/01-12:40:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.732/217.882/219.323/1.305 ms
14/07/01-12:42:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 215.599/222.344/231.528/6.403 ms
14/07/01-12:44:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.583/222.092/228.166/3.370 ms
14/07/01-12:45:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.767/218.567/222.599/2.346 ms
14/07/01-12:47:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.992/221.296/227.858/3.888 ms
14/07/01-12:49:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.876/222.218/231.845/5.188 ms
14/07/01-12:51:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 215.655/220.408/228.009/4.348 ms
14/07/01-12:53:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 217.919/221.224/223.808/2.300 ms
