14/07/01-10:03:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.923/199.943/199.965/0.565 ms
14/07/01-10:04:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 199.870/199.902/199.927/0.565 ms
14/07/01-10:06:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 199.896/199.973/200.067/0.404 ms
14/07/01-10:08:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 199.890/199.944/200.027/0.567 ms
14/07/01-10:09:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 231.746/251.013/263.869/15.733 ms
14/07/01-10:11:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.921/199.957/199.981/0.400 ms
14/07/01-10:13:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 199.922/200.072/200.510/0.458 ms
14/07/01-10:14:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.905/199.930/199.981/0.284 ms
14/07/01-10:16:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 199.898/199.939/199.998/0.037 ms
14/07/01-10:18:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 199.918/200.257/201.243/0.642 ms
14/07/01-10:19:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.901/200.021/200.430/0.449 ms
14/07/01-10:21:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.870/199.914/199.946/0.025 ms
14/07/01-10:22:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.883/200.404/202.407/1.001 ms
14/07/01-10:24:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 199.953/200.034/200.309/0.508 ms
14/07/01-10:26:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.908/199.931/199.952/0.400 ms
14/07/01-10:27:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 199.868/199.914/199.945/0.566 ms
14/07/01-10:29:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 199.870/199.935/199.978/0.402 ms
14/07/01-10:31:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.928/199.987/200.195/0.104 ms
14/07/01-10:32:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 199.927/199.961/200.011/0.028 ms
14/07/01-10:34:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.935/200.153/200.928/0.624 ms
14/07/01-10:36:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 199.930/199.967/200.030/0.036 ms
14/07/01-10:37:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.942/199.959/199.990/0.565 ms
14/07/01-10:39:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 199.897/199.959/200.148/0.573 ms
14/07/01-10:40:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 199.900/200.039/200.215/0.422 ms
14/07/01-10:42:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 199.838/199.954/200.159/0.576 ms
14/07/01-10:44:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 200.330/202.187/203.660/1.557 ms
14/07/01-10:45:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 199.927/200.065/200.439/0.525 ms
14/07/01-10:47:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 199.910/200.014/200.328/0.587 ms
14/07/01-10:49:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 199.929/199.948/199.976/0.400 ms
