14/07/01-10:02:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.463/47.543/47.761/0.176 ms
14/07/01-10:04:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 47.446/47.498/47.629/0.247 ms
14/07/01-10:05:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.369/47.487/47.743/0.273 ms
14/07/01-10:07:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 47.455/47.498/47.589/0.243 ms
14/07/01-10:09:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.484/47.570/47.749/0.168 ms
14/07/01-10:10:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 47.461/47.557/47.755/0.260 ms
14/07/01-10:12:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 47.390/47.450/47.511/0.049 ms
14/07/01-10:14:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.412/47.513/47.676/0.254 ms
14/07/01-10:15:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.433/47.488/47.526/0.034 ms
14/07/01-10:17:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.463/47.490/47.515/0.195 ms
14/07/01-10:19:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 47.469/47.730/48.624/0.469 ms
14/07/01-10:20:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 47.464/47.667/48.143/0.285 ms
14/07/01-10:22:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 47.456/47.547/47.805/0.271 ms
14/07/01-10:23:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.495/47.788/48.618/0.508 ms
14/07/01-10:25:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.442/47.488/47.567/0.047 ms
14/07/01-10:27:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 47.439/47.594/47.997/0.283 ms
14/07/01-10:28:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.430/47.473/47.530/0.199 ms
14/07/01-10:30:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.497/47.549/47.661/0.057 ms
14/07/01-10:32:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.498/47.554/47.606/0.143 ms
14/07/01-10:33:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.429/48.015/49.087/0.701 ms
14/07/01-10:35:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 47.457/47.535/47.701/0.216 ms
14/07/01-10:37:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.473/47.525/47.581/0.199 ms
14/07/01-10:38:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.389/47.463/47.640/0.289 ms
14/07/01-10:40:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 47.431/47.492/47.552/0.278 ms
14/07/01-10:41:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.380/47.439/47.554/0.282 ms
14/07/01-10:43:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.455/47.485/47.571/0.199 ms
14/07/01-10:45:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.445/47.495/47.562/0.199 ms
14/07/01-10:46:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 47.440/47.524/47.573/0.053 ms
14/07/01-10:48:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.394/47.447/47.543/0.146 ms
14/07/01-10:50:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.401/47.537/47.819/0.201 ms
14/07/01-10:51:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.421/47.562/47.806/0.272 ms
14/07/01-10:53:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 47.446/48.047/50.147/1.060 ms
14/07/01-10:55:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.360/47.456/47.500/0.243 ms
14/07/01-10:56:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.402/47.656/48.327/0.366 ms
14/07/01-10:58:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 47.440/47.465/47.502/0.196 ms
14/07/01-11:00:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 47.468/47.543/47.653/0.282 ms
14/07/01-11:01:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.388/47.468/47.590/0.284 ms
14/07/01-11:03:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.468/47.952/49.459/0.761 ms
14/07/01-11:04:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.408/47.467/47.518/0.145 ms
14/07/01-11:06:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.408/47.448/47.465/0.139 ms
14/07/01-11:08:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 47.445/47.719/48.361/0.429 ms
14/07/01-11:09:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.482/47.549/47.793/0.301 ms
14/07/01-11:11:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.448/47.520/47.596/0.203 ms
14/07/01-11:13:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 47.404/47.484/47.672/0.217 ms
14/07/01-11:14:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.418/47.444/47.472/0.020 ms
14/07/01-11:16:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.416/47.450/47.495/0.029 ms
14/07/01-11:18:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.444/47.501/47.580/0.202 ms
14/07/01-11:19:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.474/47.554/47.673/0.072 ms
14/07/01-11:21:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 47.377/47.467/47.565/0.158 ms
14/07/01-11:22:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 47.447/47.624/48.157/0.300 ms
14/07/01-11:24:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.449/47.545/47.693/0.292 ms
14/07/01-11:26:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 47.423/47.531/47.808/0.242 ms
14/07/01-11:27:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 47.442/47.476/47.516/0.196 ms
14/07/01-11:29:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.434/47.648/48.419/0.453 ms
14/07/01-11:31:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.441/47.461/47.494/0.195 ms
14/07/01-11:32:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 47.451/47.502/47.566/0.279 ms
14/07/01-11:34:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 47.435/47.492/47.570/0.054 ms
14/07/01-11:36:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.455/47.494/47.523/0.196 ms
