14/07/01-10:03:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.862/126.913/127.082/0.458 ms
14/07/01-10:05:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.827/126.973/127.127/0.335 ms
14/07/01-10:06:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.879/126.930/126.974/0.227 ms
14/07/01-10:08:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.861/126.945/127.067/0.327 ms
14/07/01-10:10:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.894/127.040/127.316/0.267 ms
14/07/01-10:11:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.876/127.042/127.142/0.090 ms
14/07/01-10:13:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.856/126.905/126.941/0.227 ms
14/07/01-10:15:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 126.883/127.033/127.421/0.439 ms
14/07/01-10:16:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.902/126.991/127.178/0.246 ms
14/07/01-10:18:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.903/127.124/127.804/0.519 ms
14/07/01-10:19:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.875/126.999/127.135/0.112 ms
14/07/01-10:21:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.857/126.988/127.043/0.068 ms
14/07/01-10:23:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.865/126.979/127.172/0.248 ms
14/07/01-10:24:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.889/126.943/127.056/0.232 ms
14/07/01-10:26:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 127.074/127.133/127.246/0.326 ms
14/07/01-10:28:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.851/126.943/127.024/0.068 ms
14/07/01-10:29:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.895/126.995/127.102/0.236 ms
14/07/01-10:31:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.865/126.960/127.052/0.397 ms
14/07/01-10:33:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.890/127.012/127.220/0.343 ms
14/07/01-10:34:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.874/126.951/127.064/0.235 ms
14/07/01-10:36:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 126.847/126.949/127.228/0.142 ms
14/07/01-10:38:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.855/126.975/127.090/0.243 ms
14/07/01-10:39:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.913/127.007/127.285/0.472 ms
14/07/01-10:41:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.884/127.137/127.766/0.390 ms
14/07/01-10:42:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.845/127.049/127.414/0.436 ms
14/07/01-10:44:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.903/126.961/127.110/0.397 ms
14/07/01-10:46:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.911/126.996/127.119/0.456 ms
14/07/01-10:47:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.824/126.983/127.142/0.413 ms
14/07/01-10:49:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.884/127.035/127.262/0.471 ms
14/07/01-10:51:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.783/126.843/126.953/0.233 ms
14/07/01-10:52:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.828/126.928/126.994/0.067 ms
14/07/01-10:54:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 126.919/127.021/127.139/0.399 ms
14/07/01-10:56:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.831/127.061/127.343/0.482 ms
14/07/01-10:57:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.892/127.070/127.282/0.413 ms
14/07/01-10:59:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.971/127.039/127.127/0.050 ms
14/07/01-11:00:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 126.883/127.028/127.255/0.256 ms
14/07/01-11:02:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.877/127.012/127.143/0.250 ms
14/07/01-11:04:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.852/126.963/127.161/0.248 ms
14/07/01-11:05:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.744/126.863/127.027/0.100 ms
14/07/01-11:07:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.897/127.006/127.114/0.398 ms
14/07/01-11:09:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.820/126.911/127.051/0.334 ms
14/07/01-11:10:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.861/126.930/126.992/0.393 ms
14/07/01-11:12:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.903/126.965/127.055/0.324 ms
14/07/01-11:14:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.763/126.928/127.035/0.248 ms
14/07/01-11:15:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.890/127.003/127.066/0.234 ms
14/07/01-11:17:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.830/126.975/127.156/0.250 ms
14/07/01-11:18:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.904/126.960/127.027/0.393 ms
14/07/01-11:20:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.989/127.056/127.130/0.323 ms
14/07/01-11:22:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.921/127.016/127.135/0.238 ms
14/07/01-11:23:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.934/127.040/127.268/0.466 ms
14/07/01-11:25:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.871/126.966/127.052/0.396 ms
14/07/01-11:27:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.827/126.914/127.041/0.080 ms
14/07/01-11:28:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.892/126.962/127.100/0.396 ms
14/07/01-11:30:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 127.012/127.113/127.198/0.068 ms
14/07/01-11:32:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.880/127.043/127.187/0.120 ms
14/07/01-11:33:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.851/127.218/128.305/0.547 ms
14/07/01-11:35:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.885/126.979/127.063/0.324 ms
14/07/01-11:36:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 126.830/126.899/126.970/0.321 ms
14/07/01-11:38:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.842/126.956/127.064/0.238 ms
14/07/01-11:40:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.947/127.031/127.089/0.454 ms
14/07/01-11:41:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 126.971/127.106/127.431/0.425 ms
14/07/01-11:43:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.846/126.923/127.027/0.062 ms
14/07/01-11:45:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.969/127.000/127.091/0.229 ms
14/07/01-11:46:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.891/127.010/127.190/0.406 ms
14/07/01-11:48:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.972/127.028/127.129/0.394 ms
14/07/01-11:50:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.841/127.114/127.613/0.473 ms
14/07/01-11:51:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.964/127.006/127.111/0.231 ms
14/07/01-11:53:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.868/126.994/127.129/0.458 ms
14/07/01-11:55:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.918/127.012/127.135/0.069 ms
14/07/01-11:56:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.856/126.893/126.972/0.321 ms
14/07/01-11:58:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.893/126.962/127.166/0.247 ms
14/07/01-11:59:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.923/126.972/127.024/0.038 ms
14/07/01-12:01:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.968/127.028/127.181/0.398 ms
14/07/01-12:03:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.849/127.012/127.159/0.412 ms
14/07/01-12:05:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.860/126.931/127.077/0.327 ms
14/07/01-12:07:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.874/127.021/127.241/0.262 ms
14/07/01-12:08:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.879/127.104/127.776/0.406 ms
14/07/01-12:10:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.881/127.013/127.313/0.421 ms
14/07/01-12:12:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.890/126.959/127.024/0.393 ms
14/07/01-12:14:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.922/126.995/127.076/0.454 ms
14/07/01-12:15:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.932/127.032/127.076/0.322 ms
14/07/01-12:17:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.880/126.962/127.112/0.458 ms
14/07/01-12:19:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 127.041/127.151/127.426/0.266 ms
14/07/01-12:21:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.906/127.087/127.436/0.489 ms
14/07/01-12:23:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 126.835/126.944/127.086/0.458 ms
14/07/01-12:24:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.929/127.054/127.310/0.470 ms
14/07/01-12:26:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.870/126.969/127.062/0.397 ms
14/07/01-12:28:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 126.862/126.980/127.117/0.463 ms
14/07/01-12:30:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4020ms rtt min/avg/max/mdev = 126.912/127.024/127.169/0.465 ms
14/07/01-12:32:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 126.917/127.069/127.289/0.123 ms
14/07/01-12:33:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.834/126.966/127.124/0.402 ms
14/07/01-12:35:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 126.912/127.003/127.108/0.395 ms
