14/07/01-10:02:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 106.491/108.574/110.508/1.632 ms
14/07/01-10:04:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 112.085/115.458/119.353/2.364 ms
14/07/01-10:05:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 132.539/136.706/141.436/3.429 ms
14/07/01-10:07:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 140.994/148.247/154.276/4.605 ms
14/07/01-10:09:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 135.450/143.931/155.725/6.850 ms
14/07/01-10:10:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 141.925/147.004/152.059/3.480 ms
14/07/01-10:12:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 132.637/142.827/149.520/5.653 ms
14/07/01-10:13:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 144.818/149.132/153.654/3.584 ms
14/07/01-10:15:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 127.835/135.980/146.801/6.880 ms
14/07/01-10:17:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 138.439/141.034/146.225/3.044 ms
14/07/01-10:18:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 134.404/143.933/152.035/6.706 ms
14/07/01-10:20:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 142.347/146.230/153.738/4.040 ms
14/07/01-10:22:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 146.646/151.788/158.417/4.858 ms
14/07/01-10:23:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 140.958/142.234/144.392/1.172 ms
14/07/01-10:25:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 145.185/150.925/153.822/3.075 ms
14/07/01-10:27:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 145.400/152.495/159.631/5.212 ms
14/07/01-10:28:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 142.221/148.601/154.438/4.270 ms
14/07/01-10:30:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 144.537/149.111/153.429/3.080 ms
14/07/01-10:31:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 72.455/76.258/81.102/2.955 ms
14/07/01-10:33:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.088/79.339/85.127/3.820 ms
14/07/01-10:35:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 76.007/81.924/87.815/3.839 ms
14/07/01-10:36:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 84.064/88.762/93.561/3.689 ms
14/07/01-10:38:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 66.897/67.539/68.592/0.673 ms
14/07/01-10:40:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 66.740/67.217/68.062/0.565 ms
14/07/01-10:41:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 81.893/87.024/89.386/2.778 ms
14/07/01-10:43:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.468/70.907/73.339/1.831 ms
