14/07/01-10:03:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 131.948/132.471/134.107/0.949 ms
14/07/01-10:05:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4010ms rtt min/avg/max/mdev = 131.924/131.971/132.037/0.399 ms
14/07/01-10:06:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.914/131.988/132.220/0.414 ms
14/07/01-10:08:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.826/131.892/131.924/0.035 ms
14/07/01-10:10:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 131.885/131.944/131.993/0.461 ms
14/07/01-10:11:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 132.002/132.133/132.521/0.499 ms
14/07/01-10:13:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.911/131.977/132.079/0.070 ms
14/07/01-10:14:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.982/132.020/132.048/0.231 ms
14/07/01-10:16:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 131.898/131.919/131.938/0.459 ms
14/07/01-10:18:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 131.984/132.028/132.064/0.326 ms
14/07/01-10:19:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.876/131.949/132.007/0.327 ms
14/07/01-10:21:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 131.970/132.000/132.021/0.230 ms
14/07/01-10:23:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.836/132.264/133.502/0.622 ms
14/07/01-10:24:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 131.964/132.058/132.249/0.340 ms
14/07/01-10:26:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 131.967/132.002/132.030/0.230 ms
14/07/01-10:28:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 131.896/131.981/132.046/0.463 ms
14/07/01-10:29:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.893/131.964/132.038/0.329 ms
14/07/01-10:31:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 131.931/131.977/132.032/0.327 ms
14/07/01-10:33:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.492/131.567/131.709/0.405 ms
14/07/01-10:34:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 131.594/131.624/131.665/0.027 ms
14/07/01-10:36:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.515/131.590/131.712/0.463 ms
14/07/01-10:37:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.474/131.529/131.606/0.462 ms
14/07/01-10:39:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 131.615/131.693/131.943/0.261 ms
14/07/01-10:41:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.562/131.638/131.691/0.234 ms
14/07/01-10:42:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.592/131.687/131.906/0.343 ms
14/07/01-10:44:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.574/131.620/131.677/0.033 ms
14/07/01-10:46:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.615/131.646/131.668/0.325 ms
14/07/01-10:47:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.563/131.616/131.664/0.460 ms
14/07/01-10:49:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.576/131.659/131.891/0.257 ms
14/07/01-10:51:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.600/131.658/131.777/0.402 ms
14/07/01-10:52:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.568/131.611/131.676/0.038 ms
14/07/01-10:54:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 131.521/131.555/131.592/0.398 ms
14/07/01-10:55:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 131.456/131.595/131.915/0.163 ms
14/07/01-10:57:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.532/131.582/131.613/0.459 ms
14/07/01-10:59:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.619/131.649/131.726/0.399 ms
14/07/01-11:00:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.526/131.610/131.649/0.327 ms
14/07/01-11:02:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.591/131.690/131.833/0.243 ms
14/07/01-11:04:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.565/131.664/131.892/0.345 ms
14/07/01-11:05:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.568/131.587/131.627/0.020 ms
14/07/01-11:07:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 131.652/131.693/131.762/0.232 ms
14/07/01-11:09:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.501/131.578/131.681/0.330 ms
14/07/01-11:10:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.551/131.820/132.478/0.465 ms
14/07/01-11:12:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.592/131.711/131.835/0.405 ms
14/07/01-11:13:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.677/131.754/131.998/0.260 ms
14/07/01-11:15:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.677/131.708/131.733/0.230 ms
14/07/01-11:17:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.688/131.735/131.783/0.232 ms
14/07/01-11:18:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.656/131.712/131.757/0.037 ms
14/07/01-11:20:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.674/131.741/131.936/0.098 ms
14/07/01-11:22:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.632/131.661/131.698/0.459 ms
14/07/01-11:23:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.657/131.898/132.673/0.557 ms
14/07/01-11:25:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.608/131.649/131.732/0.327 ms
14/07/01-11:27:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 131.609/131.630/131.665/0.397 ms
14/07/01-11:28:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.562/131.684/131.745/0.331 ms
14/07/01-11:30:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.619/131.632/131.646/0.324 ms
14/07/01-11:31:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 131.623/131.644/131.665/0.324 ms
14/07/01-11:33:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.538/131.586/131.609/0.325 ms
14/07/01-11:35:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.554/131.629/131.689/0.401 ms
14/07/01-11:36:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.657/131.674/131.696/0.013 ms
14/07/01-11:38:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 131.604/131.664/131.700/0.398 ms
14/07/01-11:40:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 131.674/131.768/131.999/0.346 ms
14/07/01-11:41:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 131.657/131.680/131.707/0.459 ms
14/07/01-11:43:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 131.575/131.709/131.986/0.274 ms
