14/07/01-10:03:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 94.608/94.676/94.748/0.047 ms
14/07/01-10:05:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 94.625/94.976/95.954/0.598 ms
14/07/01-10:06:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 94.904/95.920/96.913/0.786 ms
14/07/01-10:08:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 94.672/94.703/94.740/0.195 ms
14/07/01-10:09:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 94.738/94.955/95.380/0.370 ms
14/07/01-10:11:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 94.629/95.005/96.429/0.763 ms
14/07/01-10:13:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 94.643/94.922/95.807/0.590 ms
14/07/01-10:14:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 94.674/94.709/94.741/0.276 ms
14/07/01-10:16:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 94.658/94.689/94.727/0.196 ms
14/07/01-10:18:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 94.664/94.691/94.733/0.390 ms
14/07/01-10:19:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 94.568/94.610/94.643/0.276 ms
14/07/01-10:21:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 94.587/94.640/94.662/0.028 ms
14/07/01-10:23:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 94.551/94.614/94.724/0.204 ms
