14/07/01-10:02:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.797/17.984/18.648/0.353 ms
14/07/01-10:03:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 17.723/17.774/17.890/0.158 ms
14/07/01-10:05:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.798/17.864/17.895/0.091 ms
14/07/01-10:07:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.802/17.850/17.914/0.046 ms
14/07/01-10:08:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.803/17.866/17.967/0.060 ms
14/07/01-10:10:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.784/17.834/17.986/0.185 ms
14/07/01-10:11:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.807/17.864/17.919/0.127 ms
14/07/01-10:13:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 17.812/17.835/17.857/0.017 ms
14/07/01-10:15:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.788/17.857/17.901/0.173 ms
14/07/01-10:16:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.806/17.875/17.927/0.127 ms
14/07/01-10:18:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.851/18.044/18.517/0.297 ms
14/07/01-10:20:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.738/17.807/17.904/0.177 ms
14/07/01-10:21:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.797/17.847/17.923/0.051 ms
14/07/01-10:23:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 17.743/17.786/17.815/0.149 ms
14/07/01-10:25:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.758/18.351/20.336/0.998 ms
14/07/01-10:26:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.738/17.874/17.972/0.165 ms
14/07/01-10:28:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.909/18.759/20.390/0.956 ms
14/07/01-10:29:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.742/17.789/17.858/0.040 ms
14/07/01-10:31:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.790/17.839/17.917/0.175 ms
14/07/01-10:33:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.744/17.832/17.918/0.184 ms
14/07/01-10:34:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.745/17.771/17.815/0.170 ms
14/07/01-10:36:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.750/17.772/17.795/0.146 ms
14/07/01-10:38:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.779/17.852/17.946/0.161 ms
14/07/01-10:39:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.767/17.812/17.872/0.173 ms
14/07/01-10:41:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 17.869/17.936/18.061/0.072 ms
14/07/01-10:43:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.753/17.819/17.882/0.152 ms
14/07/01-10:44:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.779/17.834/17.942/0.101 ms
14/07/01-10:46:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.805/17.862/17.935/0.176 ms
14/07/01-10:48:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.789/17.831/17.864/0.123 ms
14/07/01-10:49:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.785/17.851/17.926/0.102 ms
14/07/01-10:51:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.803/17.842/17.906/0.150 ms
14/07/01-10:52:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 17.791/18.019/18.389/0.248 ms
14/07/01-10:54:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.771/17.819/17.875/0.173 ms
14/07/01-10:56:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.772/17.920/18.423/0.304 ms
14/07/01-10:57:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.788/17.830/17.903/0.173 ms
14/07/01-10:59:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.795/17.835/17.900/0.125 ms
14/07/01-11:01:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.804/17.951/18.361/0.240 ms
14/07/01-11:02:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.720/17.979/18.599/0.360 ms
14/07/01-11:04:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.832/17.869/17.931/0.094 ms
14/07/01-11:06:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 17.810/17.869/17.969/0.177 ms
14/07/01-11:07:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.787/17.828/17.880/0.092 ms
14/07/01-11:09:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.764/17.814/17.861/0.090 ms
14/07/01-11:10:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.797/18.044/18.806/0.384 ms
14/07/01-11:12:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.778/17.834/17.899/0.041 ms
14/07/01-11:14:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4008ms rtt min/avg/max/mdev = 17.821/17.861/17.922/0.173 ms
14/07/01-11:15:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.738/17.819/17.935/0.180 ms
14/07/01-11:17:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.773/17.852/17.966/0.063 ms
14/07/01-11:19:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.763/17.826/17.888/0.152 ms
14/07/01-11:20:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.788/17.851/17.901/0.092 ms
14/07/01-11:22:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.833/17.869/17.909/0.170 ms
14/07/01-11:24:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.826/17.878/17.986/0.132 ms
14/07/01-11:25:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.846/17.863/17.897/0.170 ms
14/07/01-11:27:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.816/17.875/17.929/0.095 ms
14/07/01-11:28:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.769/17.861/17.908/0.154 ms
14/07/01-11:30:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.850/17.898/17.970/0.174 ms
14/07/01-11:32:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 17.845/17.882/17.918/0.023 ms
14/07/01-11:33:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 17.726/17.882/18.099/0.151 ms
14/07/01-11:35:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 17.768/17.799/17.823/0.086 ms
