14/07/01-10:02:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 279.086/279.184/279.409/0.116 ms
14/07/01-10:04:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 279.132/279.241/279.409/0.482 ms
14/07/01-10:06:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 279.065/279.270/279.726/0.233 ms
14/07/01-10:07:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.098/279.187/279.304/0.066 ms
14/07/01-10:09:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 279.125/279.207/279.264/0.580 ms
14/07/01-10:11:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 279.056/279.179/279.389/0.486 ms
14/07/01-10:12:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 279.060/279.250/279.833/0.556 ms
14/07/01-10:14:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4017ms rtt min/avg/max/mdev = 279.107/279.129/279.180/0.668 ms
14/07/01-10:16:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.130/279.284/279.561/0.148 ms
14/07/01-10:17:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 279.109/279.158/279.205/0.031 ms
14/07/01-10:19:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 279.086/279.169/279.332/0.585 ms
14/07/01-10:20:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.101/279.133/279.174/0.335 ms
14/07/01-10:22:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.109/279.342/280.111/0.771 ms
14/07/01-10:24:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 279.078/279.147/279.247/0.056 ms
14/07/01-10:25:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.077/279.122/279.162/0.669 ms
14/07/01-10:27:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.118/279.170/279.278/0.581 ms
14/07/01-10:29:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.145/279.226/279.493/0.360 ms
14/07/01-10:30:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 279.129/279.327/279.553/0.159 ms
14/07/01-10:32:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.123/279.191/279.304/0.066 ms
14/07/01-10:34:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 279.067/279.123/279.252/0.671 ms
14/07/01-10:35:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 279.072/279.197/279.480/0.364 ms
14/07/01-10:37:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 279.086/279.130/279.201/0.474 ms
14/07/01-10:38:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 278.997/279.038/279.065/0.334 ms
14/07/01-10:40:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 279.121/279.219/279.307/0.340 ms
14/07/01-10:42:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 279.061/279.215/279.591/0.514 ms
