14/07/01-10:04:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.519/57.431/61.805/2.630 ms
14/07/01-10:05:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 52.492/55.617/61.827/3.641 ms
14/07/01-10:07:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 52.773/59.489/62.736/3.867 ms
14/07/01-10:09:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.054/59.434/62.343/3.711 ms
14/07/01-10:10:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 52.467/56.485/62.011/4.519 ms
14/07/01-10:12:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 52.217/55.344/62.180/3.875 ms
14/07/01-10:14:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 52.983/60.420/62.629/3.723 ms
14/07/01-10:15:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 52.577/57.673/62.565/4.154 ms
14/07/01-10:17:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 52.767/56.789/62.272/4.408 ms
14/07/01-10:19:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 52.758/59.358/62.466/3.819 ms
14/07/01-10:20:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 52.721/57.685/62.326/4.048 ms
14/07/01-10:22:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 52.599/54.007/57.789/1.913 ms
14/07/01-10:24:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 52.955/58.412/62.230/3.428 ms
14/07/01-10:25:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 57.121/59.283/62.190/2.369 ms
14/07/01-10:27:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 52.535/57.581/62.437/4.242 ms
14/07/01-10:29:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.188/56.560/57.787/1.721 ms
