14/07/01-10:04:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 152.823/155.600/156.651/1.489 ms
14/07/01-10:06:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 156.451/156.598/156.817/0.166 ms
14/07/01-10:07:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.175/155.090/156.465/1.552 ms
14/07/01-10:09:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.994/154.405/156.370/1.613 ms
14/07/01-10:11:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 152.831/155.833/156.963/1.559 ms
14/07/01-10:12:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.676/155.602/156.414/1.547 ms
14/07/01-10:14:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.026/154.516/156.623/1.661 ms
14/07/01-10:16:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 153.511/155.306/156.566/1.480 ms
14/07/01-10:17:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 152.965/155.624/156.438/1.362 ms
14/07/01-10:19:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.069/155.269/156.785/1.718 ms
14/07/01-10:21:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 152.932/154.482/156.629/1.658 ms
14/07/01-10:22:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.177/155.116/156.696/1.620 ms
14/07/01-10:24:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.415/156.119/157.365/1.395 ms
14/07/01-10:26:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 152.824/154.957/156.365/1.699 ms
14/07/01-10:27:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.780/155.642/156.698/1.452 ms
14/07/01-10:29:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 152.883/155.184/156.793/1.871 ms
14/07/01-10:31:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.909/155.706/156.841/1.523 ms
14/07/01-10:32:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.936/154.311/156.149/1.508 ms
14/07/01-10:34:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 152.669/154.908/156.980/1.785 ms
14/07/01-10:36:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.389/155.830/156.782/1.251 ms
14/07/01-10:37:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.942/155.091/156.606/1.657 ms
14/07/01-10:39:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.715/155.024/156.922/1.838 ms
14/07/01-10:41:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.268/155.649/156.676/1.271 ms
14/07/01-10:42:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 152.646/155.479/156.591/1.521 ms
14/07/01-10:44:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 153.152/155.819/156.680/1.389 ms
14/07/01-10:46:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 152.759/155.237/156.620/1.566 ms
14/07/01-10:47:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 153.072/155.641/156.541/1.395 ms
14/07/01-10:49:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.739/153.650/156.216/1.315 ms
14/07/01-10:51:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.102/155.036/156.707/1.605 ms
14/07/01-10:52:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.374/155.738/156.627/1.193 ms
14/07/01-10:54:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 152.747/155.700/157.023/1.510 ms
14/07/01-10:56:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 153.111/155.291/157.023/1.719 ms
14/07/01-10:57:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.787/155.239/157.171/1.895 ms
14/07/01-10:59:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 152.793/154.316/156.279/1.484 ms
