14/07/01-10:03:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 329.008/340.082/345.298/6.109 ms
14/07/01-10:05:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 334.364/339.175/342.579/3.029 ms
14/07/01-10:07:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 338.139/340.253/342.770/1.971 ms
14/07/01-10:08:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 330.738/340.312/345.033/5.420 ms
14/07/01-10:10:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.187/340.663/345.166/2.697 ms
14/07/01-10:12:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 338.457/342.928/345.826/2.630 ms
14/07/01-10:13:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 329.315/339.666/345.651/5.733 ms
14/07/01-10:15:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 329.054/334.647/338.591/4.373 ms
14/07/01-10:17:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 324.622/338.135/345.827/7.266 ms
14/07/01-10:18:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 330.336/336.751/338.472/3.210 ms
14/07/01-10:20:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 329.327/338.329/342.512/4.811 ms
14/07/01-10:22:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 324.680/332.224/342.214/7.079 ms
14/07/01-10:23:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 324.515/334.608/342.684/6.691 ms
14/07/01-10:25:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 329.305/340.346/345.199/5.638 ms
14/07/01-10:27:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 338.636/343.608/345.611/2.771 ms
14/07/01-10:28:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 338.209/343.317/352.429/5.272 ms
14/07/01-10:30:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 338.491/344.722/351.251/4.117 ms
14/07/01-10:32:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 324.846/338.694/345.286/7.263 ms
14/07/01-10:33:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 334.334/340.556/345.018/3.834 ms
14/07/01-10:35:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.828/343.433/349.099/3.664 ms
14/07/01-10:37:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.821/335.804/342.709/5.317 ms
14/07/01-10:38:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 325.024/339.150/349.775/8.090 ms
14/07/01-10:40:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 330.541/340.076/345.243/5.240 ms
14/07/01-10:42:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 324.795/335.289/344.880/7.289 ms
14/07/01-10:43:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 338.658/344.161/349.757/3.683 ms
14/07/01-10:45:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 338.833/343.902/346.517/2.796 ms
14/07/01-10:47:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 338.436/340.804/342.911/1.974 ms
14/07/01-10:48:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 338.479/340.046/342.231/1.865 ms
14/07/01-10:50:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 334.686/342.154/353.006/6.219 ms
14/07/01-10:52:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 329.189/337.549/344.993/6.858 ms
14/07/01-10:53:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 333.857/339.105/343.465/3.151 ms
14/07/01-10:55:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 343.645/345.432/346.909/1.414 ms
14/07/01-10:57:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 329.259/340.263/345.225/5.662 ms
14/07/01-10:58:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 334.208/340.444/344.945/3.786 ms
14/07/01-11:00:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 340.080/345.793/354.366/4.796 ms
14/07/01-11:02:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 330.642/340.132/345.348/5.079 ms
14/07/01-11:03:52 - 5 packets transmitted, 4 received, 20% packet loss, time 4003ms rtt min/avg/max/mdev = 330.666/340.142/346.485/6.123 ms
