14/07/01-10:03:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 340.378/345.861/353.820/6.357 ms
14/07/01-10:05:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.152/346.501/353.800/9.208 ms
14/07/01-10:06:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 331.081/346.581/353.900/9.273 ms
14/07/01-10:08:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 331.251/344.581/353.572/10.843 ms
14/07/01-10:10:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.005/346.492/353.726/9.264 ms
14/07/01-10:11:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 331.614/344.046/353.790/8.584 ms
14/07/01-10:13:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.048/337.633/353.870/8.898 ms
14/07/01-10:15:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 331.504/341.502/354.003/7.218 ms
14/07/01-10:16:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.232/346.465/353.860/9.177 ms
14/07/01-10:18:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.030/335.015/340.713/4.590 ms
14/07/01-10:20:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.005/339.509/353.603/8.215 ms
14/07/01-10:21:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 330.988/339.457/353.606/8.258 ms
14/07/01-10:23:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 340.220/350.962/353.733/5.423 ms
14/07/01-10:25:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 331.462/346.664/354.078/9.282 ms
14/07/01-10:26:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 331.589/344.163/353.845/8.466 ms
14/07/01-10:28:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 331.409/341.348/353.839/7.197 ms
14/07/01-10:30:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 330.975/343.911/354.087/8.869 ms
14/07/01-10:31:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.393/341.376/354.021/7.256 ms
14/07/01-10:33:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 330.957/337.574/353.747/8.991 ms
14/07/01-10:35:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.090/340.280/354.054/11.127 ms
14/07/01-10:36:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 340.544/345.881/353.810/6.447 ms
14/07/01-10:38:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 330.817/346.445/353.802/9.360 ms
14/07/01-10:40:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.158/342.096/353.729/10.091 ms
