14/07/01-10:04:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.726/230.234/235.989/6.762 ms
14/07/01-10:06:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.442/227.870/235.545/7.496 ms
14/07/01-10:08:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.530/227.197/235.318/7.071 ms
14/07/01-10:09:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.963/228.419/236.002/7.198 ms
14/07/01-10:11:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 217.781/224.158/235.233/7.368 ms
14/07/01-10:13:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.977/227.548/235.697/7.108 ms
14/07/01-10:14:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 220.812/226.361/235.113/5.997 ms
14/07/01-10:16:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 219.354/227.554/235.466/6.438 ms
14/07/01-10:18:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 218.483/226.056/236.256/7.772 ms
14/07/01-10:19:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 220.572/228.190/236.287/6.685 ms
14/07/01-10:21:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 218.914/226.484/235.584/5.495 ms
14/07/01-10:23:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 217.702/231.929/235.998/7.133 ms
14/07/01-10:24:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.428/228.324/237.569/8.134 ms
14/07/01-10:26:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.839/225.539/235.194/7.728 ms
14/07/01-10:28:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 221.852/230.037/235.730/6.629 ms
14/07/01-10:29:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 218.220/229.478/238.675/8.975 ms
14/07/01-10:31:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 218.452/221.717/233.945/6.136 ms
14/07/01-10:33:04 - 5 packets transmitted, 4 received, 20% packet loss, time 4000ms rtt min/avg/max/mdev = 217.649/218.546/219.146/0.551 ms
14/07/01-10:34:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.859/227.029/236.200/7.688 ms
14/07/01-10:36:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 217.411/225.663/235.922/8.306 ms
14/07/01-10:38:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.067/224.497/236.114/7.932 ms
14/07/01-10:39:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.700/228.399/235.449/6.807 ms
14/07/01-10:41:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.432/229.389/235.726/7.588 ms
14/07/01-10:43:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 219.237/230.739/236.113/6.639 ms
14/07/01-10:44:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 218.252/226.796/232.156/5.508 ms
14/07/01-10:46:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 220.269/224.159/235.954/5.965 ms
14/07/01-10:48:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 217.839/228.565/236.134/8.453 ms
14/07/01-10:49:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.786/228.754/235.914/7.129 ms
14/07/01-10:51:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 219.045/227.323/236.684/7.828 ms
14/07/01-10:53:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 222.040/230.482/235.996/6.016 ms
14/07/01-10:54:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.891/228.308/243.350/9.631 ms
14/07/01-10:56:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 218.792/224.824/235.576/7.165 ms
14/07/01-10:58:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.918/226.842/238.985/9.028 ms
14/07/01-10:59:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 218.502/229.502/236.185/7.616 ms
14/07/01-11:01:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 218.939/229.487/236.214/7.599 ms
14/07/01-11:03:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 217.322/228.450/236.340/8.528 ms
