14/07/01-10:03:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 256.910/262.199/264.478/2.824 ms
14/07/01-10:05:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 256.734/261.119/266.356/3.747 ms
14/07/01-10:07:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.602/260.869/265.891/3.681 ms
14/07/01-10:08:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.362/261.722/266.384/4.398 ms
14/07/01-10:10:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.618/259.160/263.357/3.103 ms
14/07/01-10:12:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 256.514/258.335/264.141/2.910 ms
14/07/01-10:13:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 257.094/262.191/266.123/2.899 ms
14/07/01-10:15:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.326/259.127/263.088/3.133 ms
14/07/01-10:17:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.734/260.545/266.103/4.434 ms
14/07/01-10:18:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 262.663/263.502/264.453/0.973 ms
14/07/01-10:20:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.806/263.169/266.135/3.469 ms
14/07/01-10:22:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 256.424/262.040/265.993/3.171 ms
14/07/01-10:23:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.307/261.858/265.925/3.130 ms
14/07/01-10:25:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 256.747/261.043/265.908/3.649 ms
14/07/01-10:27:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 262.539/264.799/269.749/2.908 ms
14/07/01-10:28:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 262.903/264.828/266.217/1.385 ms
14/07/01-10:30:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.716/259.767/262.983/2.766 ms
14/07/01-10:32:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 256.850/263.973/268.834/4.141 ms
14/07/01-10:33:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.475/260.815/265.697/3.628 ms
14/07/01-10:35:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.500/261.872/265.762/3.060 ms
14/07/01-10:37:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 256.411/257.849/262.368/2.360 ms
14/07/01-10:38:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 256.542/262.525/266.077/3.315 ms
14/07/01-10:40:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.787/262.803/269.093/4.345 ms
14/07/01-10:42:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.793/261.655/266.386/4.189 ms
14/07/01-10:43:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.373/256.603/256.782/0.657 ms
14/07/01-10:45:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.498/259.721/266.013/3.838 ms
14/07/01-10:47:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.498/262.126/266.204/3.204 ms
14/07/01-10:48:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 256.471/259.505/265.032/3.550 ms
14/07/01-10:50:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.830/262.563/266.118/3.206 ms
14/07/01-10:52:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 256.515/259.165/263.126/3.093 ms
14/07/01-10:53:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.657/261.648/266.327/4.315 ms
14/07/01-10:55:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.757/260.206/262.655/2.323 ms
14/07/01-10:57:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 256.537/264.410/269.475/4.857 ms
14/07/01-10:58:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 256.562/259.985/267.058/4.158 ms
14/07/01-11:00:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.704/260.637/264.288/3.228 ms
14/07/01-11:02:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 256.689/257.946/262.466/2.284 ms
14/07/01-11:03:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 259.233/262.752/265.657/2.113 ms
14/07/01-11:05:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 256.563/264.094/269.207/4.333 ms
14/07/01-11:07:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.417/257.677/262.259/2.337 ms
