14/07/01-10:04:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 51.584/52.440/53.092/0.685 ms
14/07/01-10:06:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 48.649/51.092/53.419/2.122 ms
14/07/01-10:07:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 48.548/51.891/53.478/1.928 ms
14/07/01-10:09:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 48.280/51.900/53.803/2.115 ms
14/07/01-10:11:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 48.702/51.390/53.931/1.672 ms
14/07/01-10:12:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 48.430/50.589/52.751/1.738 ms
14/07/01-10:14:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 48.545/53.410/58.373/3.161 ms
14/07/01-10:16:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.802/53.717/58.435/2.409 ms
14/07/01-10:17:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.363/52.748/54.881/1.344 ms
14/07/01-10:19:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.032/54.420/58.037/2.928 ms
14/07/01-10:21:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 52.907/55.720/58.325/1.938 ms
14/07/01-10:22:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 48.690/52.037/55.897/2.801 ms
14/07/01-10:24:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 48.097/52.349/54.440/2.263 ms
14/07/01-10:26:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 48.571/51.593/53.294/1.705 ms
14/07/01-10:27:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 52.490/55.152/58.558/2.546 ms
14/07/01-10:29:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.147/53.835/58.120/2.344 ms
14/07/01-10:31:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.834/52.622/54.456/2.447 ms
14/07/01-10:32:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.778/53.219/54.752/1.324 ms
14/07/01-10:34:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.457/54.456/57.594/1.593 ms
14/07/01-10:36:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 48.038/51.981/57.979/3.260 ms
14/07/01-10:37:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 48.377/51.918/58.142/3.571 ms
14/07/01-10:39:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 48.673/50.889/53.098/1.866 ms
14/07/01-10:41:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 50.600/54.582/58.630/3.472 ms
14/07/01-10:42:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 48.838/52.062/55.061/2.211 ms
14/07/01-10:44:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.851/53.499/58.328/3.337 ms
14/07/01-10:46:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.512/52.622/53.293/0.607 ms
14/07/01-10:47:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.121/51.680/54.064/1.320 ms
