14/07/01-10:04:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.390/396.796/397.100/0.237 ms
14/07/01-10:05:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.496/396.708/396.920/0.177 ms
14/07/01-10:07:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.413/396.807/397.468/0.544 ms
14/07/01-10:09:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.343/396.668/396.949/0.603 ms
14/07/01-10:10:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.285/396.578/396.931/0.629 ms
14/07/01-10:12:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.246/396.758/397.300/0.668 ms
14/07/01-10:14:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.550/396.893/397.366/0.761 ms
14/07/01-10:15:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 396.472/396.784/397.034/0.454 ms
14/07/01-10:17:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 396.594/396.819/397.072/0.180 ms
14/07/01-10:19:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.661/396.921/397.188/0.592 ms
14/07/01-10:20:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 396.328/396.598/396.807/0.707 ms
14/07/01-10:22:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.445/396.599/396.663/0.800 ms
14/07/01-10:24:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.618/396.878/397.215/0.466 ms
14/07/01-10:25:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.368/396.825/397.089/0.615 ms
14/07/01-10:27:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 396.644/396.963/397.177/0.723 ms
14/07/01-10:29:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.460/397.010/397.514/0.692 ms
14/07/01-10:30:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 396.643/396.870/397.105/0.815 ms
14/07/01-10:32:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.390/396.875/397.461/0.661 ms
14/07/01-10:34:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.257/396.608/396.940/0.487 ms
14/07/01-10:35:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.258/396.666/397.063/0.763 ms
14/07/01-10:37:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.615/396.899/397.316/0.479 ms
14/07/01-10:39:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.313/396.557/396.961/0.608 ms
14/07/01-10:40:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.267/396.738/397.159/0.891 ms
14/07/01-10:42:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 396.303/396.781/397.000/0.734 ms
14/07/01-10:44:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.295/396.606/396.964/0.739 ms
14/07/01-10:45:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.390/396.788/397.114/0.732 ms
14/07/01-10:47:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.374/396.502/396.657/0.409 ms
14/07/01-10:49:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.171/396.731/397.265/0.796 ms
14/07/01-10:50:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.424/396.627/396.894/0.152 ms
14/07/01-10:52:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.760/396.995/397.283/0.587 ms
14/07/01-10:54:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.366/396.969/397.312/0.518 ms
14/07/01-10:55:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 396.312/396.704/396.973/0.734 ms
14/07/01-10:57:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 396.333/396.529/396.867/0.725 ms
14/07/01-10:59:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 396.518/396.904/397.295/0.843 ms
14/07/01-11:00:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.317/396.763/397.051/0.614 ms
14/07/01-11:02:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.361/396.974/397.658/0.589 ms
14/07/01-11:04:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.465/396.785/397.334/0.751 ms
14/07/01-11:05:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.282/396.756/397.473/0.796 ms
14/07/01-11:07:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.399/396.893/397.216/0.505 ms
14/07/01-11:09:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 396.164/396.603/397.093/0.850 ms
14/07/01-11:10:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.790/396.987/397.316/0.442 ms
14/07/01-11:12:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 396.255/396.692/397.015/0.642 ms
14/07/01-11:14:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 396.270/396.659/396.881/0.218 ms
14/07/01-11:15:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 396.337/396.668/396.854/0.179 ms
14/07/01-11:17:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.252/396.487/396.897/0.469 ms
14/07/01-11:19:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.384/396.729/396.935/0.717 ms
14/07/01-11:20:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 396.301/396.720/397.103/0.479 ms
14/07/01-11:22:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.601/396.887/397.240/0.614 ms
14/07/01-11:24:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.344/396.632/396.987/0.604 ms
14/07/01-11:25:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.539/396.691/396.881/0.576 ms
14/07/01-11:27:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.668/396.696/396.790/0.691 ms
14/07/01-11:29:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.210/396.633/397.153/0.763 ms
14/07/01-11:30:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 396.636/396.683/396.760/0.565 ms
14/07/01-11:32:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 396.320/396.860/397.216/0.649 ms
14/07/01-11:34:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.636/396.772/397.102/0.711 ms
14/07/01-11:35:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.372/396.690/397.068/0.232 ms
14/07/01-11:37:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.676/397.004/397.426/0.487 ms
14/07/01-11:39:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.437/396.693/396.832/0.808 ms
14/07/01-11:40:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.551/396.832/397.047/0.817 ms
14/07/01-11:42:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.239/396.560/396.814/0.454 ms
14/07/01-11:44:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.303/396.829/397.156/0.643 ms
