14/07/01-10:03:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.718/367.441/376.837/11.083 ms
14/07/01-10:05:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.981/364.830/376.430/9.986 ms
14/07/01-10:07:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.771/367.339/376.526/11.022 ms
14/07/01-10:08:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.961/362.270/376.653/8.281 ms
14/07/01-10:10:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 354.123/366.743/376.362/8.556 ms
14/07/01-10:12:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.766/364.665/376.309/10.010 ms
14/07/01-10:13:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.753/360.342/376.669/9.024 ms
14/07/01-10:15:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 354.219/367.550/376.498/10.815 ms
14/07/01-10:17:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 354.222/366.719/376.404/8.509 ms
14/07/01-10:18:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 354.086/366.589/376.648/8.721 ms
14/07/01-10:20:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 354.010/367.507/376.529/10.958 ms
14/07/01-10:22:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.717/371.849/376.547/9.099 ms
14/07/01-10:23:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.186/365.996/376.223/5.172 ms
14/07/01-10:25:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.820/360.192/376.192/8.734 ms
14/07/01-10:27:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.758/362.224/376.405/8.230 ms
14/07/01-10:28:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.921/364.724/376.508/10.076 ms
14/07/01-10:30:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.871/363.918/376.220/7.149 ms
14/07/01-10:32:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 354.271/363.962/375.974/6.940 ms
14/07/01-10:33:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 362.894/373.737/376.844/5.482 ms
14/07/01-10:35:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 354.037/369.345/376.640/9.202 ms
14/07/01-10:37:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 362.990/371.003/376.619/6.516 ms
14/07/01-10:38:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 363.063/368.552/376.644/6.536 ms
14/07/01-10:40:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.786/363.007/376.734/11.044 ms
14/07/01-10:42:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.905/361.554/363.536/3.900 ms
14/07/01-10:43:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 363.098/371.152/376.491/6.453 ms
14/07/01-10:45:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 363.319/368.551/376.184/6.219 ms
14/07/01-10:47:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.622/359.449/363.520/4.660 ms
14/07/01-10:48:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.933/364.746/376.258/9.889 ms
14/07/01-10:50:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.819/360.253/376.160/8.751 ms
14/07/01-10:52:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 354.238/366.963/376.741/8.659 ms
14/07/01-10:53:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.851/359.556/363.412/4.534 ms
14/07/01-10:55:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 354.007/360.339/376.481/8.778 ms
14/07/01-10:57:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 353.979/364.861/376.630/10.108 ms
14/07/01-10:58:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 353.714/362.232/376.524/8.297 ms
14/07/01-11:00:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 354.091/364.943/376.662/10.015 ms
14/07/01-11:02:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 363.008/368.494/376.573/6.591 ms
14/07/01-11:03:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 354.231/369.388/376.585/9.114 ms
14/07/01-11:05:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 354.225/363.147/376.422/10.797 ms
14/07/01-11:07:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.942/362.113/376.042/8.127 ms
14/07/01-11:08:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.721/360.429/376.662/8.927 ms
14/07/01-11:10:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 363.243/371.106/376.601/6.447 ms
14/07/01-11:12:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 354.096/364.828/376.475/9.966 ms
14/07/01-11:13:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 354.016/364.734/376.321/9.976 ms
14/07/01-11:15:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.816/369.353/376.969/9.445 ms
14/07/01-11:17:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.791/364.513/376.035/9.956 ms
14/07/01-11:18:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.755/366.474/376.240/8.664 ms
14/07/01-11:20:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.957/360.282/376.251/8.698 ms
14/07/01-11:22:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 353.800/357.595/363.479/4.618 ms
14/07/01-11:23:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.905/360.479/376.542/8.833 ms
14/07/01-11:25:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.724/355.904/362.958/3.535 ms
14/07/01-11:27:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.488/364.716/376.716/10.101 ms
14/07/01-11:28:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.862/363.985/376.265/7.169 ms
14/07/01-11:30:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 354.438/365.117/376.589/9.855 ms
14/07/01-11:32:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.779/369.099/376.277/9.202 ms
14/07/01-11:33:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 354.372/366.790/376.531/8.546 ms
14/07/01-11:35:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.886/366.580/376.458/8.675 ms
14/07/01-11:37:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.303/373.902/376.737/5.343 ms
14/07/01-11:38:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.957/357.717/363.288/4.540 ms
14/07/01-11:40:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.610/360.217/376.499/8.914 ms
14/07/01-11:42:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.955/360.588/376.537/8.746 ms
14/07/01-11:43:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.994/364.761/376.579/10.011 ms
14/07/01-11:45:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.818/362.237/376.655/8.376 ms
14/07/01-11:47:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.665/362.171/376.488/8.362 ms
14/07/01-11:48:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 354.051/369.168/376.429/9.210 ms
14/07/01-11:50:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.004/366.019/376.590/5.304 ms
14/07/01-11:52:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 354.102/366.658/376.262/8.514 ms
14/07/01-11:53:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.714/364.991/376.944/10.236 ms
14/07/01-11:55:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.978/364.856/377.364/10.270 ms
14/07/01-11:57:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.644/363.891/376.150/7.207 ms
14/07/01-11:58:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 353.972/366.935/376.716/8.744 ms
14/07/01-12:00:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 354.052/367.556/376.687/10.951 ms
14/07/01-12:02:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.712/360.356/376.196/8.804 ms
14/07/01-12:04:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.819/360.361/376.613/8.853 ms
14/07/01-12:06:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 354.010/369.157/376.478/9.221 ms
