14/07/01-10:04:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 385.989/388.978/399.109/5.136 ms
14/07/01-10:06:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.603/391.374/394.728/3.031 ms
14/07/01-10:07:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 386.799/392.414/398.909/4.239 ms
14/07/01-10:09:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.122/393.295/399.856/6.059 ms
14/07/01-10:11:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 388.583/391.497/395.020/2.288 ms
14/07/01-10:12:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.273/387.707/390.336/1.641 ms
14/07/01-10:14:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.272/392.418/399.268/5.841 ms
14/07/01-10:16:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 390.642/395.694/399.149/4.182 ms
14/07/01-10:17:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 386.406/389.631/394.799/3.207 ms
14/07/01-10:19:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.129/390.074/394.558/2.795 ms
14/07/01-10:21:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.234/393.104/399.091/4.407 ms
14/07/01-10:22:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.008/390.197/399.200/4.796 ms
14/07/01-10:24:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.041/391.925/399.314/4.637 ms
14/07/01-10:26:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 386.455/388.135/390.668/2.117 ms
14/07/01-10:27:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.192/394.521/399.223/5.802 ms
14/07/01-10:29:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 390.605/393.241/397.978/2.627 ms
14/07/01-10:31:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.526/393.287/399.281/5.011 ms
14/07/01-10:32:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.566/391.656/399.263/4.447 ms
14/07/01-10:34:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.032/389.256/394.668/3.696 ms
14/07/01-10:36:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.445/391.624/398.842/4.087 ms
14/07/01-10:37:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.117/390.386/394.859/3.553 ms
14/07/01-10:39:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 389.246/393.886/399.217/3.590 ms
14/07/01-10:41:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.559/389.875/391.293/1.736 ms
14/07/01-10:42:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.522/392.090/399.195/4.182 ms
14/07/01-10:44:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.037/388.564/394.429/3.066 ms
14/07/01-10:46:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 385.967/388.477/390.817/2.130 ms
14/07/01-10:47:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.506/393.246/399.101/4.069 ms
14/07/01-10:49:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.062/392.462/399.368/5.837 ms
14/07/01-10:51:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.518/391.479/394.877/3.138 ms
14/07/01-10:52:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.162/391.260/399.261/4.738 ms
14/07/01-10:54:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 438.739/443.805/452.590/4.982 ms
14/07/01-10:56:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 386.067/388.267/391.734/2.549 ms
