14/07/01-10:04:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 395.583/399.364/404.486/3.086 ms
14/07/01-10:06:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 393.676/395.919/398.048/1.751 ms
14/07/01-10:07:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 394.142/396.240/397.915/1.557 ms
14/07/01-10:09:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 395.256/397.219/401.372/2.351 ms
14/07/01-10:11:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 394.460/398.473/403.141/3.625 ms
14/07/01-10:12:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 394.587/397.317/402.924/3.092 ms
14/07/01-10:14:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.229/395.744/399.620/2.044 ms
14/07/01-10:16:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 395.017/396.473/397.735/1.233 ms
14/07/01-10:17:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 392.968/396.575/404.623/4.362 ms
14/07/01-10:19:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.943/396.136/397.942/1.614 ms
14/07/01-10:21:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.161/396.307/401.959/2.935 ms
14/07/01-10:22:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.814/395.368/397.197/1.308 ms
14/07/01-10:24:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.371/395.461/397.141/0.932 ms
14/07/01-10:26:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 394.900/395.663/396.908/0.884 ms
14/07/01-10:27:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.337/395.621/398.828/2.498 ms
14/07/01-10:29:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.023/395.015/396.107/1.326 ms
14/07/01-10:31:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 393.464/394.736/396.780/1.460 ms
14/07/01-10:32:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.117/396.901/402.281/3.313 ms
14/07/01-10:34:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 394.612/396.166/398.021/1.132 ms
14/07/01-10:36:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 393.868/395.003/397.943/1.544 ms
14/07/01-10:38:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 393.580/395.551/397.310/1.309 ms
14/07/01-10:39:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 393.414/394.965/395.794/0.972 ms
14/07/01-10:41:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 393.381/394.813/397.166/1.473 ms
14/07/01-10:43:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.538/394.620/395.852/1.103 ms
14/07/01-10:44:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.014/395.434/399.210/2.013 ms
14/07/01-10:46:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 393.728/397.287/406.681/4.774 ms
14/07/01-10:48:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 393.823/397.040/402.856/3.319 ms
14/07/01-10:49:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.625/395.019/395.684/0.716 ms
14/07/01-10:51:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 395.352/397.733/404.446/3.476 ms
14/07/01-10:53:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 395.008/397.008/401.668/2.538 ms
14/07/01-10:54:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 393.910/396.298/398.083/1.680 ms
14/07/01-10:56:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 393.557/394.931/395.924/1.148 ms
