14/07/01-10:04:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.859/229.116/229.321/0.457 ms
14/07/01-10:05:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.772/229.024/229.195/0.454 ms
14/07/01-10:07:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.965/229.196/229.696/0.401 ms
14/07/01-10:09:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 229.128/229.412/229.653/0.471 ms
14/07/01-10:10:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.953/229.785/231.783/1.025 ms
14/07/01-10:12:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.839/229.838/231.555/0.990 ms
14/07/01-10:14:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 228.947/229.137/229.230/0.439 ms
14/07/01-10:15:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.846/230.069/231.663/1.341 ms
14/07/01-10:17:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 229.011/230.208/231.585/1.108 ms
14/07/01-10:19:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.772/229.613/231.546/1.163 ms
14/07/01-10:20:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.835/229.133/229.606/0.663 ms
14/07/01-10:22:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.743/229.132/229.368/0.477 ms
14/07/01-10:24:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.805/229.513/231.486/1.170 ms
14/07/01-10:25:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 229.153/230.184/231.426/1.027 ms
14/07/01-10:27:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.841/229.474/231.593/1.061 ms
14/07/01-10:29:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.995/229.649/231.551/1.112 ms
14/07/01-10:30:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 229.018/230.109/231.506/1.094 ms
14/07/01-10:32:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.847/230.099/231.592/1.218 ms
14/07/01-10:34:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.937/229.874/231.432/1.032 ms
14/07/01-10:35:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.906/229.131/229.295/0.135 ms
14/07/01-10:37:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 229.208/229.387/229.501/0.320 ms
14/07/01-10:39:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.865/230.163/231.896/1.419 ms
14/07/01-10:40:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.866/229.701/231.642/1.027 ms
14/07/01-10:42:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 229.325/229.793/231.378/0.951 ms
14/07/01-10:44:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.872/229.504/231.430/0.972 ms
14/07/01-10:45:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.884/228.986/229.092/0.530 ms
14/07/01-10:47:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 228.994/229.784/231.635/1.105 ms
14/07/01-10:49:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.875/229.150/229.461/0.388 ms
14/07/01-10:50:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 229.108/229.399/229.590/0.627 ms
14/07/01-10:52:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.853/229.104/229.556/0.656 ms
14/07/01-10:54:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.886/229.606/231.420/0.976 ms
14/07/01-10:55:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 228.825/229.610/231.647/1.051 ms
14/07/01-10:57:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.758/229.843/232.101/1.261 ms
14/07/01-10:59:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 229.156/229.885/231.612/1.032 ms
14/07/01-11:00:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 228.856/228.976/229.132/0.534 ms
14/07/01-11:02:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 229.024/230.056/231.450/1.175 ms
14/07/01-11:04:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.820/230.088/231.538/1.338 ms
14/07/01-11:05:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.791/229.193/229.741/0.607 ms
14/07/01-11:07:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.961/229.761/231.564/1.037 ms
14/07/01-11:09:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.871/229.119/229.360/0.341 ms
14/07/01-11:10:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.935/229.750/231.671/1.075 ms
14/07/01-11:12:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.885/229.043/229.412/0.635 ms
14/07/01-11:14:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 229.048/229.697/231.498/1.091 ms
14/07/01-11:15:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.783/230.042/231.593/1.299 ms
14/07/01-11:17:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.772/228.999/229.186/0.331 ms
14/07/01-11:19:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.951/229.178/229.658/0.251 ms
14/07/01-11:20:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.862/229.752/231.515/1.055 ms
14/07/01-11:22:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.911/229.658/231.521/1.142 ms
14/07/01-11:24:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.848/229.458/231.404/1.066 ms
14/07/01-11:25:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.901/229.064/229.165/0.099 ms
14/07/01-11:27:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.827/229.999/231.659/1.378 ms
14/07/01-11:29:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.815/229.159/229.433/0.491 ms
14/07/01-11:30:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 228.768/229.166/229.414/0.575 ms
14/07/01-11:32:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.899/230.268/231.802/1.210 ms
14/07/01-11:34:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.990/229.735/231.411/1.052 ms
14/07/01-11:36:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 229.022/229.689/231.473/0.996 ms
14/07/01-11:37:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 228.881/229.170/229.542/0.279 ms
14/07/01-11:39:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.828/229.709/232.225/1.402 ms
14/07/01-11:41:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.842/229.117/229.439/0.562 ms
14/07/01-11:42:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.845/229.600/231.741/1.238 ms
14/07/01-11:44:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.749/230.146/231.683/1.399 ms
14/07/01-11:46:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.778/229.444/231.467/1.015 ms
14/07/01-11:47:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 229.126/230.680/231.576/1.090 ms
14/07/01-11:49:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 229.093/229.837/231.705/0.993 ms
14/07/01-11:51:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 228.799/229.021/229.245/0.145 ms
14/07/01-11:52:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.926/229.260/229.847/0.532 ms
14/07/01-11:54:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 228.975/229.211/229.404/0.466 ms
14/07/01-11:56:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 228.825/229.153/229.575/0.519 ms
14/07/01-11:57:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 228.880/229.524/231.398/1.079 ms
14/07/01-11:59:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.876/229.726/231.861/1.171 ms
14/07/01-12:01:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 228.738/229.982/231.836/1.437 ms
14/07/01-12:03:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 228.864/229.706/231.684/1.059 ms
14/07/01-12:05:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 228.938/229.195/229.617/0.390 ms
