14/07/01-10:04:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 201.021/201.722/203.670/1.043 ms
14/07/01-10:06:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 200.888/201.374/202.026/0.598 ms
14/07/01-10:08:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 200.737/200.980/201.539/0.492 ms
14/07/01-10:09:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.810/200.932/201.185/0.314 ms
14/07/01-10:11:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.834/201.129/201.388/0.597 ms
14/07/01-10:13:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.991/204.056/210.593/3.802 ms
14/07/01-10:14:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.885/201.847/204.726/1.478 ms
14/07/01-10:16:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 200.867/205.572/213.043/5.001 ms
14/07/01-10:18:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 201.259/204.611/210.875/3.470 ms
14/07/01-10:19:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 200.787/201.158/201.901/0.627 ms
14/07/01-10:21:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.992/202.391/205.594/1.691 ms
14/07/01-10:23:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.766/201.002/201.531/0.561 ms
14/07/01-10:24:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 200.829/201.131/201.425/0.227 ms
14/07/01-10:26:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 200.857/201.422/202.421/0.763 ms
14/07/01-10:28:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.766/201.679/204.403/1.463 ms
14/07/01-10:29:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 201.007/203.754/210.941/3.803 ms
14/07/01-10:31:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 200.843/201.625/203.006/0.980 ms
14/07/01-10:33:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 200.881/202.854/208.057/2.668 ms
14/07/01-10:35:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 200.940/203.470/207.904/2.838 ms
14/07/01-10:36:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.802/201.239/201.629/0.579 ms
14/07/01-10:38:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 200.782/203.145/207.750/2.600 ms
14/07/01-10:40:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.792/203.142/205.391/1.926 ms
14/07/01-10:41:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 201.308/202.176/204.298/1.207 ms
14/07/01-10:43:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 201.007/202.682/206.311/2.081 ms
14/07/01-10:45:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 200.877/201.610/203.602/1.004 ms
14/07/01-10:46:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 200.824/201.228/202.677/0.875 ms
14/07/01-10:48:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 200.997/203.158/208.634/2.892 ms
14/07/01-10:50:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 200.785/201.944/203.942/1.220 ms
