14/07/01-10:04:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.522/264.872/275.220/9.298 ms
14/07/01-10:06:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.782/259.967/266.750/9.361 ms
14/07/01-10:08:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.536/258.716/266.710/6.817 ms
14/07/01-10:09:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 245.678/259.430/275.641/11.341 ms
14/07/01-10:11:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 255.944/266.003/275.376/6.176 ms
14/07/01-10:13:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 256.084/265.253/274.820/6.403 ms
14/07/01-10:14:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 266.816/273.377/275.228/3.349 ms
14/07/01-10:16:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 257.027/266.283/275.014/5.767 ms
14/07/01-10:18:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 243.099/261.180/274.830/10.863 ms
14/07/01-10:19:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 257.016/266.330/274.969/5.726 ms
14/07/01-10:21:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 251.644/264.198/274.985/10.270 ms
14/07/01-10:23:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 251.846/265.179/275.207/9.443 ms
14/07/01-10:24:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 251.527/264.888/275.539/9.612 ms
14/07/01-10:26:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 265.497/268.814/275.772/3.701 ms
14/07/01-10:28:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 265.429/273.238/275.431/3.948 ms
14/07/01-10:29:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 256.738/264.536/275.189/6.960 ms
14/07/01-10:31:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.444/262.874/275.174/9.015 ms
14/07/01-10:33:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 257.235/265.905/275.011/7.903 ms
14/07/01-10:34:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.965/264.891/269.088/4.190 ms
14/07/01-10:36:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 242.817/256.991/275.309/12.602 ms
14/07/01-10:38:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.815/266.327/274.912/5.745 ms
14/07/01-10:39:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.617/264.696/275.212/10.445 ms
14/07/01-10:41:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 255.880/266.097/275.748/8.611 ms
14/07/01-10:43:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 255.972/265.568/274.824/6.548 ms
14/07/01-10:44:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.895/264.522/275.158/6.781 ms
14/07/01-10:46:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 265.430/268.235/275.125/3.643 ms
14/07/01-10:48:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.775/267.824/275.173/6.841 ms
14/07/01-10:49:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.598/264.555/274.886/6.454 ms
14/07/01-10:51:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 256.653/262.563/266.908/4.667 ms
14/07/01-10:53:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.602/260.521/275.450/9.654 ms
14/07/01-10:54:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.162/268.123/275.681/6.932 ms
14/07/01-10:56:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.785/261.715/274.943/11.253 ms
14/07/01-10:58:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.281/265.298/266.998/2.090 ms
14/07/01-10:59:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 251.269/260.314/267.262/6.100 ms
14/07/01-11:01:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.002/259.440/269.039/10.305 ms
14/07/01-11:03:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.658/268.923/276.094/9.266 ms
14/07/01-11:04:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 251.626/263.204/275.332/9.975 ms
14/07/01-11:06:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 256.966/269.787/275.030/7.139 ms
14/07/01-11:08:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 265.296/270.126/275.377/4.418 ms
14/07/01-11:09:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.359/267.920/275.192/6.674 ms
14/07/01-11:11:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.139/266.056/275.335/8.356 ms
14/07/01-11:13:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.612/265.070/275.382/10.330 ms
14/07/01-11:14:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 243.630/264.963/275.171/12.966 ms
14/07/01-11:16:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.220/263.161/275.085/8.269 ms
14/07/01-11:18:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 251.261/263.881/274.825/8.544 ms
14/07/01-11:19:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.637/265.757/275.556/11.771 ms
14/07/01-11:21:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 251.285/259.885/269.118/6.537 ms
14/07/01-11:23:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.380/261.887/266.723/5.361 ms
14/07/01-11:24:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.169/261.442/275.510/13.500 ms
14/07/01-11:26:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 256.942/268.096/274.896/6.635 ms
14/07/01-11:28:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 266.418/268.481/274.819/3.200 ms
14/07/01-11:30:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 256.680/264.361/275.152/6.949 ms
14/07/01-11:31:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.956/260.723/266.812/4.376 ms
