14/07/01-10:03:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.389/261.766/261.979/0.210 ms
14/07/01-10:05:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.539/262.024/262.597/0.387 ms
14/07/01-10:06:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 258.018/258.229/258.606/0.593 ms
14/07/01-10:08:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.666/261.873/262.073/0.663 ms
14/07/01-10:10:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.225/262.087/263.203/0.932 ms
14/07/01-10:11:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 261.846/262.262/262.557/0.515 ms
14/07/01-10:13:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 261.611/262.069/262.521/0.722 ms
14/07/01-10:15:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.533/261.789/262.050/0.375 ms
14/07/01-10:16:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 261.781/262.069/262.267/0.678 ms
14/07/01-10:18:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 257.611/257.983/258.238/0.394 ms
14/07/01-10:20:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 261.478/261.791/262.107/0.690 ms
14/07/01-10:21:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 261.932/262.123/262.329/0.665 ms
14/07/01-10:23:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.606/261.735/261.892/0.337 ms
14/07/01-10:25:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 258.767/258.974/259.291/0.365 ms
14/07/01-10:26:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 258.804/259.100/259.334/0.587 ms
14/07/01-10:28:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 258.977/259.076/259.274/0.109 ms
14/07/01-10:30:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.751/261.955/262.169/0.580 ms
14/07/01-10:31:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 262.000/262.195/262.336/0.110 ms
14/07/01-10:33:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 261.702/261.974/262.125/0.354 ms
14/07/01-10:35:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.783/261.905/261.999/0.654 ms
14/07/01-10:36:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 261.484/262.079/262.712/0.608 ms
14/07/01-10:38:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.870/262.018/262.401/0.498 ms
14/07/01-10:40:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.872/262.076/262.288/0.667 ms
14/07/01-10:41:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.743/262.169/262.527/0.283 ms
14/07/01-10:43:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.714/262.205/262.534/0.281 ms
14/07/01-10:45:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 258.521/258.933/259.188/0.240 ms
14/07/01-10:46:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 258.812/258.953/259.101/0.335 ms
14/07/01-10:48:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 258.879/259.213/259.567/0.690 ms
14/07/01-10:50:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 258.862/259.118/259.395/0.184 ms
14/07/01-10:51:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 258.732/258.973/259.272/0.489 ms
14/07/01-10:53:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 258.585/259.414/259.923/0.787 ms
14/07/01-10:55:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.382/257.891/258.362/0.577 ms
14/07/01-10:56:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 258.750/259.037/259.361/0.402 ms
14/07/01-10:58:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.705/262.036/262.296/0.676 ms
14/07/01-11:00:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 258.541/259.249/259.828/0.693 ms
14/07/01-11:01:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 258.908/259.181/259.448/0.368 ms
14/07/01-11:03:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 258.675/259.308/259.807/0.397 ms
14/07/01-11:05:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.759/261.896/262.027/0.471 ms
14/07/01-11:06:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.772/258.196/258.754/0.593 ms
14/07/01-11:08:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.589/261.846/262.256/0.606 ms
14/07/01-11:10:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.523/262.118/262.948/0.680 ms
14/07/01-11:11:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.245/261.632/262.048/0.624 ms
14/07/01-11:13:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.285/261.790/262.439/0.382 ms
14/07/01-11:15:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.520/261.678/261.992/0.486 ms
14/07/01-11:16:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.332/261.894/262.504/0.389 ms
14/07/01-11:18:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 257.574/257.998/258.589/0.361 ms
14/07/01-11:20:20 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 261.605/261.747/262.043/0.582 ms
14/07/01-11:22:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.294/261.740/262.160/0.435 ms
14/07/01-11:23:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.718/261.929/262.262/0.601 ms
14/07/01-11:25:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.752/262.046/262.446/0.694 ms
14/07/01-11:27:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.524/261.746/261.985/0.672 ms
14/07/01-11:28:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.333/261.772/262.173/0.704 ms
14/07/01-11:30:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.826/261.979/262.179/0.664 ms
14/07/01-11:32:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 261.838/262.069/262.333/0.507 ms
14/07/01-11:33:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 261.627/262.123/262.396/0.705 ms
14/07/01-11:35:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 261.513/262.007/262.462/0.662 ms
14/07/01-11:37:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 258.040/258.342/258.624/0.235 ms
14/07/01-11:38:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.974/262.280/262.640/0.415 ms
14/07/01-11:40:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.699/262.035/262.382/0.536 ms
14/07/01-11:42:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.913/262.164/262.522/0.241 ms
14/07/01-11:43:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 261.502/262.114/262.859/0.557 ms
14/07/01-11:45:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 261.902/262.077/262.333/0.662 ms
14/07/01-11:47:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.492/261.802/262.229/0.628 ms
14/07/01-11:48:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 261.590/261.878/262.331/0.633 ms
14/07/01-11:50:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 261.548/261.726/261.936/0.660 ms
14/07/01-11:52:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 266.689/267.051/267.342/0.510 ms
14/07/01-11:53:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.528/261.986/262.270/0.532 ms
14/07/01-11:55:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 261.877/262.102/262.353/0.368 ms
