14/07/01-10:04:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.164/53.523/57.849/3.033 ms
14/07/01-10:05:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 40.969/46.161/49.875/3.833 ms
14/07/01-10:07:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 41.988/46.528/52.626/3.652 ms
14/07/01-10:09:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 37.191/42.546/45.142/2.825 ms
14/07/01-10:10:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 43.805/47.899/53.406/3.221 ms
14/07/01-10:12:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 40.524/45.497/50.944/4.210 ms
14/07/01-10:14:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 40.840/45.322/48.696/2.590 ms
14/07/01-10:15:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.422/36.384/38.718/1.185 ms
14/07/01-10:17:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 35.081/35.220/35.492/0.268 ms
14/07/01-10:19:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 35.610/35.970/36.341/0.358 ms
14/07/01-10:20:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 35.613/40.443/49.937/5.257 ms
14/07/01-10:22:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 44.932/47.334/52.478/2.641 ms
14/07/01-10:24:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 36.816/38.400/40.465/1.428 ms
14/07/01-10:25:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 36.907/39.492/47.585/4.077 ms
14/07/01-10:27:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 37.598/38.016/38.903/0.530 ms
14/07/01-10:29:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 37.147/37.484/38.090/0.388 ms
14/07/01-10:30:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 38.432/40.803/44.473/2.095 ms
14/07/01-10:32:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 42.314/47.596/54.521/4.160 ms
