14/07/01-10:05:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 2.868/3.469/3.941/0.422 ms
14/07/01-10:06:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 2.814/3.149/3.792/0.345 ms
14/07/01-10:08:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.793/3.056/3.438/0.223 ms
14/07/01-10:10:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.807/3.248/4.273/0.530 ms
14/07/01-10:11:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.873/3.095/3.286/0.145 ms
14/07/01-10:13:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 3.179/4.360/6.467/1.221 ms
14/07/01-10:15:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.829/3.695/5.415/1.011 ms
14/07/01-10:16:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.924/3.582/5.670/1.049 ms
14/07/01-10:18:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.975/3.107/3.219/0.094 ms
14/07/01-10:20:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.924/3.023/3.144/0.085 ms
14/07/01-10:21:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.862/3.413/4.681/0.679 ms
14/07/01-10:23:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 2.981/3.039/3.115/0.065 ms
14/07/01-10:25:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.830/3.169/3.902/0.377 ms
14/07/01-10:26:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.996/3.133/3.258/0.084 ms
14/07/01-10:28:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 3.027/3.159/3.580/0.215 ms
14/07/01-10:30:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.826/3.945/6.916/1.510 ms
14/07/01-10:31:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.981/3.415/4.903/0.747 ms
14/07/01-10:33:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 2.873/4.638/7.055/1.974 ms
14/07/01-10:35:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.953/3.021/3.097/0.063 ms
14/07/01-10:36:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 2.810/3.120/3.655/0.312 ms
14/07/01-10:38:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.864/3.206/3.770/0.381 ms
14/07/01-10:40:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 2.924/3.021/3.191/0.098 ms
14/07/01-10:41:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.858/2.921/2.970/0.042 ms
14/07/01-10:43:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.930/3.040/3.227/0.123 ms
14/07/01-10:45:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 2.848/3.778/5.323/0.895 ms
14/07/01-10:46:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.859/3.265/4.251/0.510 ms
14/07/01-10:48:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.871/3.018/3.346/0.179 ms
14/07/01-10:50:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 3.164/3.850/5.033/0.722 ms
14/07/01-10:51:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 2.851/3.183/4.033/0.437 ms
14/07/01-10:53:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.828/3.001/3.392/0.231 ms
14/07/01-10:55:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.963/3.104/3.228/0.113 ms
14/07/01-10:56:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.802/3.180/4.076/0.465 ms
14/07/01-10:58:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 3.043/3.141/3.248/0.101 ms
14/07/01-11:00:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.913/3.135/3.333/0.171 ms
14/07/01-11:01:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.960/3.091/3.208/0.095 ms
14/07/01-11:03:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.899/4.078/5.716/1.334 ms
14/07/01-11:05:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 2.824/2.962/3.108/0.114 ms
14/07/01-11:06:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 2.936/3.062/3.198/0.103 ms
