14/07/01-10:05:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 196.237/198.087/201.578/2.264 ms
14/07/01-10:07:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 196.165/197.522/199.607/1.667 ms
14/07/01-10:08:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 199.364/200.391/201.580/0.943 ms
14/07/01-10:10:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 196.277/198.258/199.686/1.598 ms
14/07/01-10:12:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 196.214/199.896/202.708/2.830 ms
14/07/01-10:13:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 199.011/200.796/202.481/1.489 ms
14/07/01-10:15:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 196.234/199.351/201.619/1.807 ms
14/07/01-10:17:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 196.201/198.752/201.601/2.186 ms
14/07/01-10:18:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 196.261/198.992/201.706/1.915 ms
14/07/01-10:20:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.177/197.918/201.461/2.182 ms
14/07/01-10:22:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 197.075/199.623/204.021/2.539 ms
14/07/01-10:23:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 196.111/197.424/199.244/1.561 ms
14/07/01-10:25:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 196.235/197.459/201.595/2.108 ms
14/07/01-10:27:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 196.185/198.386/201.508/2.011 ms
14/07/01-10:28:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 199.231/200.298/201.513/1.028 ms
14/07/01-10:30:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 196.418/199.011/201.645/1.814 ms
14/07/01-10:32:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 196.145/196.954/199.404/1.354 ms
14/07/01-10:33:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.150/199.392/201.646/2.686 ms
14/07/01-10:35:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.142/199.755/202.578/2.260 ms
14/07/01-10:37:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 196.219/199.397/201.643/1.759 ms
14/07/01-10:38:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.171/198.447/201.757/2.634 ms
14/07/01-10:40:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 196.214/198.692/200.267/1.531 ms
14/07/01-10:42:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 196.276/198.077/201.418/2.122 ms
14/07/01-10:43:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 196.754/199.771/203.767/2.387 ms
