14/07/01-10:04:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.876/275.991/276.350/0.688 ms
14/07/01-10:06:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.840/276.121/276.749/0.749 ms
14/07/01-10:08:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.847/276.199/277.525/0.812 ms
14/07/01-10:09:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.853/275.903/275.953/0.334 ms
14/07/01-10:11:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.857/275.889/275.929/0.025 ms
14/07/01-10:13:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.843/275.935/276.209/0.359 ms
14/07/01-10:14:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.868/275.919/275.949/0.333 ms
14/07/01-10:16:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.857/275.894/275.926/0.027 ms
14/07/01-10:18:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.838/276.251/277.779/0.764 ms
14/07/01-10:19:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 275.699/276.358/277.193/0.909 ms
14/07/01-10:21:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.853/275.903/275.941/0.576 ms
14/07/01-10:23:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.813/275.854/275.879/0.664 ms
14/07/01-10:24:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.831/276.023/276.720/0.672 ms
14/07/01-10:26:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.821/275.878/275.923/0.471 ms
14/07/01-10:28:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.836/276.137/276.995/0.546 ms
14/07/01-10:29:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.738/276.132/277.264/0.809 ms
14/07/01-10:31:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.874/275.938/276.157/0.482 ms
14/07/01-10:33:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.820/276.007/276.512/0.534 ms
14/07/01-10:34:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.845/276.017/276.590/0.642 ms
14/07/01-10:36:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.854/275.893/275.955/0.665 ms
14/07/01-10:38:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.833/275.879/275.969/0.472 ms
14/07/01-10:39:41 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.852/276.146/277.232/0.718 ms
14/07/01-10:41:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.814/276.213/277.682/0.872 ms
14/07/01-10:42:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.873/275.951/276.165/0.673 ms
14/07/01-10:44:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.845/276.046/276.680/0.567 ms
14/07/01-10:46:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.760/275.955/276.453/0.710 ms
14/07/01-10:47:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.812/275.910/276.071/0.343 ms
14/07/01-10:49:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.853/276.426/277.702/0.711 ms
14/07/01-10:51:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.863/275.974/276.324/0.175 ms
14/07/01-10:52:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.833/276.133/277.241/0.554 ms
14/07/01-10:54:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 275.709/275.890/276.103/0.126 ms
14/07/01-10:56:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.827/275.880/275.924/0.333 ms
14/07/01-10:57:55 - 5 packets transmitted, 4 received, 20% packet loss, time 4007ms rtt min/avg/max/mdev = 276.947/277.249/277.758/0.713 ms
14/07/01-10:59:35 - 5 packets transmitted, 4 received, 20% packet loss, time 4000ms rtt min/avg/max/mdev = 277.119/277.370/278.026/0.379 ms
14/07/01-11:01:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.621/276.061/277.004/0.822 ms
14/07/01-11:02:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.855/275.902/275.942/0.576 ms
14/07/01-11:04:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.850/275.909/275.956/0.665 ms
14/07/01-11:06:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.877/276.044/276.540/0.416 ms
14/07/01-11:07:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 275.881/275.897/275.919/0.664 ms
