14/07/01-10:05:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.980/186.185/186.369/0.489 ms
14/07/01-10:07:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 185.851/186.166/186.690/0.396 ms
14/07/01-10:09:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.795/186.092/186.318/0.176 ms
14/07/01-10:10:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.954/186.131/186.505/0.432 ms
14/07/01-10:12:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 185.999/186.200/186.337/0.559 ms
14/07/01-10:14:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 186.191/186.930/187.600/0.696 ms
14/07/01-10:15:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.999/186.470/187.138/0.665 ms
14/07/01-10:17:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 185.979/186.651/189.016/1.276 ms
14/07/01-10:19:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 185.981/186.617/187.774/0.636 ms
14/07/01-10:20:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 186.154/187.119/188.896/1.078 ms
14/07/01-10:22:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 186.099/186.394/186.628/0.511 ms
14/07/01-10:24:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 186.136/186.556/186.987/0.418 ms
14/07/01-10:25:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.927/186.479/187.281/0.554 ms
14/07/01-10:27:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.973/186.240/186.642/0.531 ms
14/07/01-10:29:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 185.863/186.181/186.602/0.248 ms
14/07/01-10:30:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 186.436/187.070/187.987/0.627 ms
14/07/01-10:32:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 186.291/186.818/187.856/0.651 ms
14/07/01-10:34:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 186.403/186.639/187.137/0.617 ms
14/07/01-10:35:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.999/186.278/186.552/0.324 ms
14/07/01-10:37:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.960/186.375/186.859/0.580 ms
14/07/01-10:38:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 186.136/186.276/186.711/0.350 ms
14/07/01-10:40:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 186.429/187.148/189.136/1.059 ms
14/07/01-10:42:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 186.203/186.530/187.088/0.302 ms
14/07/01-10:43:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 186.353/188.113/189.960/1.336 ms
14/07/01-10:45:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.896/186.311/187.044/0.487 ms
14/07/01-10:47:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 186.128/186.340/186.472/0.297 ms
14/07/01-10:48:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 185.950/186.482/187.663/0.726 ms
14/07/01-10:50:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 186.222/186.489/186.803/0.188 ms
14/07/01-10:52:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 186.044/186.379/187.081/0.660 ms
14/07/01-10:53:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 186.174/186.373/186.624/0.431 ms
14/07/01-10:55:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 186.166/186.558/187.047/0.621 ms
14/07/01-10:57:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 185.901/186.301/186.604/0.592 ms
14/07/01-10:58:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.803/186.274/187.292/0.755 ms
14/07/01-11:00:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 185.911/186.586/187.613/0.632 ms
14/07/01-11:02:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 185.801/186.114/186.604/0.270 ms
14/07/01-11:03:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 185.838/186.342/186.715/0.298 ms
