14/07/01-10:04:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 271.649/271.697/271.790/0.468 ms
14/07/01-10:06:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.651/271.729/271.842/0.662 ms
14/07/01-10:08:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 271.619/271.934/273.050/0.727 ms
14/07/01-10:09:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 271.638/271.720/271.795/0.574 ms
14/07/01-10:11:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 271.659/271.850/272.247/0.609 ms
14/07/01-10:13:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.615/271.705/271.780/0.469 ms
14/07/01-10:14:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 271.715/271.755/271.849/0.333 ms
14/07/01-10:16:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.672/271.779/271.960/0.580 ms
14/07/01-10:18:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 271.671/272.401/274.882/1.369 ms
14/07/01-10:19:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 271.575/271.648/271.726/0.573 ms
14/07/01-10:21:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 271.682/271.778/271.930/0.341 ms
14/07/01-10:23:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 271.779/272.241/273.233/0.752 ms
14/07/01-10:24:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 271.567/271.633/271.701/0.468 ms
14/07/01-10:26:30 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 271.552/271.678/271.747/0.072 ms
14/07/01-10:28:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.731/272.300/274.383/1.233 ms
14/07/01-10:29:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.628/271.691/271.821/0.067 ms
14/07/01-10:31:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.635/271.931/272.724/0.698 ms
14/07/01-10:33:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.607/271.744/271.951/0.120 ms
14/07/01-10:34:47 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 271.607/271.917/272.741/0.779 ms
14/07/01-10:36:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 271.654/271.701/271.774/0.467 ms
14/07/01-10:38:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 271.626/271.726/271.948/0.669 ms
14/07/01-10:39:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.496/271.700/271.830/0.584 ms
14/07/01-10:41:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 271.697/271.749/271.820/0.660 ms
14/07/01-10:43:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 271.678/271.798/271.983/0.668 ms
