14/07/01-10:05:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 48.760/52.642/53.773/1.968 ms
14/07/01-10:07:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.667/53.759/58.432/2.547 ms
14/07/01-10:08:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 52.837/55.356/58.348/2.345 ms
14/07/01-10:10:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 47.869/52.199/54.428/2.389 ms
14/07/01-10:12:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.802/54.190/58.086/2.464 ms
14/07/01-10:13:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.247/58.514/62.650/3.599 ms
14/07/01-10:15:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 49.101/52.377/58.187/3.058 ms
14/07/01-10:16:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 48.962/52.607/57.386/2.793 ms
14/07/01-10:18:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 49.274/53.079/54.537/1.953 ms
14/07/01-10:20:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.821/53.046/58.518/2.876 ms
14/07/01-10:21:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.954/55.234/58.530/2.975 ms
14/07/01-10:23:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 50.932/54.939/58.397/2.963 ms
14/07/01-10:25:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 51.629/55.226/58.510/2.679 ms
14/07/01-10:26:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.262/54.729/58.679/2.036 ms
14/07/01-10:28:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.644/52.908/54.018/1.223 ms
14/07/01-10:30:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 50.660/52.966/54.313/1.550 ms
14/07/01-10:31:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 51.048/54.571/58.379/2.615 ms
14/07/01-10:33:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 50.807/53.041/54.283/1.200 ms
14/07/01-10:35:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 52.286/53.691/54.618/0.866 ms
14/07/01-10:36:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 48.212/52.340/54.517/2.273 ms
14/07/01-10:38:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 48.745/52.151/54.344/2.093 ms
14/07/01-10:40:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 48.593/51.257/53.230/1.524 ms
14/07/01-10:41:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 48.462/50.981/51.932/1.286 ms
14/07/01-10:43:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.015/53.631/54.285/0.490 ms
14/07/01-10:45:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 51.656/53.181/53.870/0.836 ms
14/07/01-10:46:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.391/53.187/53.979/0.959 ms
14/07/01-10:48:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 50.871/52.505/54.359/1.392 ms
14/07/01-10:50:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.863/55.013/60.304/2.849 ms
14/07/01-10:51:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 48.460/52.321/54.746/2.221 ms
14/07/01-10:53:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.089/53.501/54.389/0.521 ms
14/07/01-10:55:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.771/53.380/54.127/0.884 ms
14/07/01-10:56:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 51.089/53.820/58.955/2.733 ms
14/07/01-10:58:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.117/53.760/58.091/2.351 ms
14/07/01-11:00:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.433/54.271/58.364/2.359 ms
14/07/01-11:01:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 48.950/54.526/58.528/3.500 ms
14/07/01-11:03:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 48.283/51.563/53.718/2.462 ms
14/07/01-11:05:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 51.618/54.403/58.498/3.073 ms
14/07/01-11:06:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 47.815/51.065/53.939/2.466 ms
14/07/01-11:08:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 48.622/50.470/53.462/1.947 ms
14/07/01-11:10:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 49.183/51.247/53.586/1.417 ms
14/07/01-11:11:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 51.394/52.355/54.108/1.059 ms
14/07/01-11:13:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 53.702/54.437/54.907/0.490 ms
14/07/01-11:15:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 48.794/52.481/54.015/1.888 ms
