14/07/01-10:05:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 316.370/316.506/316.592/0.081 ms
14/07/01-10:06:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.486/316.578/316.846/0.136 ms
14/07/01-10:08:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.378/316.514/316.810/0.727 ms
14/07/01-10:10:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.202/316.598/317.561/0.497 ms
14/07/01-10:11:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.361/316.627/317.304/0.790 ms
14/07/01-10:13:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.361/316.440/316.551/0.507 ms
14/07/01-10:15:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.402/316.878/318.108/0.729 ms
14/07/01-10:16:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.466/317.291/319.331/1.104 ms
14/07/01-10:18:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.387/316.432/316.462/0.617 ms
14/07/01-10:20:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.537/316.692/316.942/0.632 ms
14/07/01-10:21:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.361/316.498/316.649/0.114 ms
14/07/01-10:23:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.623/318.217/319.535/1.150 ms
14/07/01-10:25:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.448/316.507/316.695/0.717 ms
14/07/01-10:26:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.289/316.445/316.623/0.108 ms
14/07/01-10:28:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.245/316.543/317.113/0.683 ms
14/07/01-10:29:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.375/316.607/316.947/0.646 ms
14/07/01-10:31:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.396/316.694/317.775/0.647 ms
14/07/01-10:33:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.272/316.443/316.663/0.380 ms
14/07/01-10:34:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 316.343/316.523/316.685/0.515 ms
14/07/01-10:36:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 316.428/316.516/316.718/0.513 ms
14/07/01-10:38:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.250/316.457/316.882/0.226 ms
14/07/01-10:39:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.284/316.380/316.474/0.075 ms
14/07/01-10:41:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.419/316.492/316.570/0.618 ms
14/07/01-10:43:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.432/316.622/316.904/0.401 ms
14/07/01-10:44:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.433/316.500/316.643/0.715 ms
14/07/01-10:46:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.359/316.432/316.565/0.620 ms
14/07/01-10:48:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.303/316.477/316.829/0.539 ms
14/07/01-10:49:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 316.401/317.256/317.906/0.824 ms
14/07/01-10:51:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.349/316.439/316.551/0.067 ms
14/07/01-10:53:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 316.237/316.408/316.676/0.163 ms
14/07/01-10:54:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.353/316.548/317.126/0.290 ms
14/07/01-10:56:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.311/316.551/317.105/0.765 ms
14/07/01-10:58:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.433/316.537/316.778/0.722 ms
14/07/01-10:59:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.385/316.486/316.566/0.361 ms
14/07/01-11:01:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.285/316.425/316.498/0.508 ms
14/07/01-11:03:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.388/316.451/316.555/0.068 ms
14/07/01-11:04:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 316.408/316.550/316.796/0.520 ms
14/07/01-11:06:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.304/316.480/316.631/0.720 ms
