14/07/01-10:04:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.627/314.894/315.426/0.450 ms
14/07/01-10:06:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 314.611/314.688/314.748/0.504 ms
14/07/01-10:08:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.421/314.805/315.633/0.827 ms
14/07/01-10:09:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 314.528/314.687/315.116/0.652 ms
14/07/01-10:11:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 314.533/314.934/316.296/0.768 ms
14/07/01-10:13:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.450/314.605/314.729/0.369 ms
14/07/01-10:14:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 314.558/314.787/315.596/0.539 ms
14/07/01-10:16:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.394/314.569/314.783/0.518 ms
14/07/01-10:18:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.435/315.153/316.938/1.049 ms
14/07/01-10:19:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.480/314.692/314.852/0.520 ms
14/07/01-10:21:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 314.656/314.690/314.770/0.503 ms
14/07/01-10:23:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 314.499/315.713/317.957/1.445 ms
14/07/01-10:24:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 314.603/314.850/315.513/0.490 ms
14/07/01-10:26:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.565/314.807/315.511/0.357 ms
14/07/01-10:27:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.594/314.709/314.803/0.507 ms
14/07/01-10:29:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.632/314.825/315.123/0.392 ms
14/07/01-10:31:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 314.660/315.064/316.326/0.633 ms
14/07/01-10:32:57 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 314.631/314.773/315.068/0.386 ms
14/07/01-10:34:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.505/314.646/314.876/0.382 ms
14/07/01-10:36:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.499/314.662/314.916/0.630 ms
14/07/01-10:37:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 314.420/314.635/314.776/0.121 ms
14/07/01-10:39:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.591/314.710/314.897/0.514 ms
14/07/01-10:41:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 314.497/314.664/314.780/0.369 ms
14/07/01-10:42:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.782/315.764/317.738/1.419 ms
14/07/01-10:44:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 314.552/314.728/314.996/0.389 ms
14/07/01-10:46:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.509/314.641/314.986/0.532 ms
14/07/01-10:47:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.470/314.748/315.294/0.460 ms
14/07/01-10:49:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 314.657/315.238/317.369/1.065 ms
14/07/01-10:51:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.340/315.142/317.185/1.043 ms
14/07/01-10:52:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.602/316.054/317.263/1.350 ms
14/07/01-10:54:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.508/314.579/314.708/0.712 ms
14/07/01-10:56:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 314.460/314.633/314.778/0.117 ms
14/07/01-10:57:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.552/314.724/315.119/0.647 ms
14/07/01-10:59:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.558/314.656/314.747/0.078 ms
14/07/01-11:01:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 314.389/314.544/314.635/0.714 ms
14/07/01-11:02:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.772/318.278/328.596/5.347 ms
14/07/01-11:04:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.719/314.782/314.884/0.065 ms
14/07/01-11:06:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.507/314.657/314.898/0.722 ms
14/07/01-11:07:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.558/314.817/315.539/0.797 ms
14/07/01-11:09:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 314.528/314.741/315.086/0.736 ms
14/07/01-11:11:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.523/314.670/314.751/0.508 ms
14/07/01-11:12:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.520/314.924/315.729/0.548 ms
14/07/01-11:14:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 314.587/314.639/314.678/0.615 ms
14/07/01-11:16:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 314.641/315.165/317.071/1.188 ms
14/07/01-11:17:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.647/315.527/317.898/1.248 ms
