14/07/01-10:05:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 247.927/248.559/249.445/0.814 ms
14/07/01-10:07:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.089/249.568/250.657/1.083 ms
14/07/01-10:08:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.476/249.562/251.158/1.075 ms
14/07/01-10:10:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.689/250.418/251.371/0.626 ms
14/07/01-10:12:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.944/249.661/250.950/0.983 ms
14/07/01-10:13:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.045/251.277/252.072/0.752 ms
14/07/01-10:15:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 248.025/249.450/250.799/1.322 ms
14/07/01-10:17:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 248.393/249.227/250.272/0.960 ms
14/07/01-10:18:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.828/249.357/251.880/1.585 ms
14/07/01-10:20:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.871/249.288/250.694/1.318 ms
14/07/01-10:22:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.003/249.668/251.811/1.572 ms
14/07/01-10:23:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.859/249.765/251.556/1.217 ms
14/07/01-10:25:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.481/250.183/250.838/0.636 ms
14/07/01-10:27:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 248.568/250.261/251.168/1.032 ms
14/07/01-10:28:51 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 249.549/250.051/250.525/0.573 ms
14/07/01-10:30:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 248.524/249.917/250.421/0.898 ms
14/07/01-10:32:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 249.442/249.752/250.762/0.676 ms
14/07/01-10:33:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 248.110/249.163/250.095/1.028 ms
14/07/01-10:35:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.168/249.343/250.285/1.012 ms
14/07/01-10:37:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 247.899/249.197/250.395/1.095 ms
14/07/01-10:38:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.909/249.473/250.673/1.147 ms
14/07/01-10:40:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.884/249.246/251.717/1.496 ms
14/07/01-10:42:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.733/250.499/253.974/2.300 ms
14/07/01-10:43:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.253/251.124/253.373/1.463 ms
14/07/01-10:45:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 248.135/249.668/250.353/0.786 ms
14/07/01-10:47:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 248.001/249.415/250.415/1.198 ms
14/07/01-10:48:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.970/249.663/250.186/0.854 ms
14/07/01-10:50:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.673/249.526/250.951/1.430 ms
14/07/01-10:52:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 248.326/249.534/250.373/0.774 ms
14/07/01-10:53:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 249.329/250.155/250.571/0.429 ms
14/07/01-10:55:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 249.502/250.094/250.700/0.411 ms
14/07/01-10:57:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 249.550/250.178/250.646/0.665 ms
14/07/01-10:58:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.974/249.654/250.972/1.074 ms
14/07/01-11:00:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 248.063/249.629/250.508/0.986 ms
14/07/01-11:02:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.831/249.083/250.270/1.112 ms
14/07/01-11:03:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.815/249.923/250.670/1.106 ms
14/07/01-11:05:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.762/249.548/250.640/0.876 ms
14/07/01-11:07:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 248.444/249.579/250.370/0.849 ms
14/07/01-11:08:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.955/249.290/250.372/1.060 ms
14/07/01-11:10:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 248.020/249.754/250.718/1.094 ms
14/07/01-11:11:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 248.034/250.173/252.123/1.346 ms
