14/07/01-10:05:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.092/311.152/311.258/0.357 ms
14/07/01-10:07:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.111/311.166/311.280/0.358 ms
14/07/01-10:09:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.004/311.743/314.002/1.193 ms
14/07/01-10:10:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 310.953/311.223/311.683/0.556 ms
14/07/01-10:12:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.037/311.596/313.003/1.020 ms
14/07/01-10:14:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 312.208/313.927/316.028/1.494 ms
14/07/01-10:15:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.107/311.248/311.643/0.537 ms
14/07/01-10:17:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.121/311.158/311.229/0.354 ms
14/07/01-10:18:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.146/311.191/311.265/0.500 ms
14/07/01-10:20:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.121/311.149/311.209/0.706 ms
14/07/01-10:22:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.135/311.408/312.310/0.838 ms
14/07/01-10:23:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.131/311.173/311.255/0.500 ms
14/07/01-10:25:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.092/311.148/311.188/0.499 ms
14/07/01-10:27:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.140/311.203/311.292/0.707 ms
14/07/01-10:28:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.091/311.406/312.443/0.721 ms
14/07/01-10:30:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.084/311.140/311.187/0.500 ms
14/07/01-10:32:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.109/311.176/311.318/0.360 ms
14/07/01-10:33:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.109/311.230/311.618/0.403 ms
14/07/01-10:35:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.113/311.150/311.219/0.706 ms
14/07/01-10:37:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.127/311.531/313.041/1.033 ms
14/07/01-10:38:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.111/311.166/311.254/0.613 ms
14/07/01-10:40:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.144/311.257/311.371/0.712 ms
14/07/01-10:42:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.030/311.751/314.220/1.235 ms
14/07/01-10:43:52 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 311.303/311.716/312.372/0.621 ms
14/07/01-10:45:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.131/311.184/311.255/0.356 ms
14/07/01-10:47:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.751/311.967/312.335/0.737 ms
14/07/01-10:48:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 311.149/311.305/311.756/0.653 ms
14/07/01-10:50:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.073/311.737/312.819/0.848 ms
14/07/01-10:52:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.185/311.733/312.929/0.722 ms
14/07/01-10:53:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.155/311.518/312.318/0.666 ms
14/07/01-10:55:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.027/311.166/311.333/0.712 ms
14/07/01-10:57:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.166/311.281/311.627/0.393 ms
14/07/01-10:58:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.120/311.227/311.530/0.152 ms
14/07/01-11:00:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.111/311.322/311.889/0.674 ms
14/07/01-11:02:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.090/311.315/312.073/0.379 ms
14/07/01-11:03:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.092/311.197/311.552/0.727 ms
14/07/01-11:05:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.111/311.153/311.205/0.355 ms
14/07/01-11:07:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.074/311.542/313.157/1.013 ms
14/07/01-11:08:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.117/311.183/311.328/0.615 ms
14/07/01-11:10:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.144/311.161/311.209/0.024 ms
14/07/01-11:12:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.138/311.634/313.108/0.904 ms
14/07/01-11:13:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 312.127/313.469/314.113/0.945 ms
14/07/01-11:15:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.126/311.399/312.358/0.480 ms
14/07/01-11:17:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.183/311.618/312.526/0.891 ms
14/07/01-11:18:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.167/311.867/314.610/1.459 ms
14/07/01-11:20:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.082/311.739/314.162/1.402 ms
14/07/01-11:22:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.108/311.159/311.263/0.613 ms
14/07/01-11:23:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.123/311.356/312.185/0.738 ms
14/07/01-11:25:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.138/311.437/312.535/0.549 ms
14/07/01-11:27:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.118/311.238/311.568/0.166 ms
14/07/01-11:28:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.164/312.437/315.087/1.466 ms
14/07/01-11:30:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.086/311.880/314.073/1.115 ms
14/07/01-11:31:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 310.983/311.199/311.519/0.530 ms
14/07/01-11:33:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.099/311.211/311.587/0.639 ms
14/07/01-11:35:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.105/311.155/311.217/0.706 ms
14/07/01-11:36:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 311.133/311.325/311.921/0.766 ms
14/07/01-11:38:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 316.560/316.704/317.140/0.548 ms
14/07/01-11:40:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.559/316.620/316.711/0.360 ms
14/07/01-11:41:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.526/316.800/317.657/0.558 ms
14/07/01-11:43:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 317.565/318.407/319.464/0.902 ms
14/07/01-11:45:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.549/316.616/316.674/0.617 ms
14/07/01-11:46:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.784/317.379/317.900/0.565 ms
14/07/01-11:48:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.567/316.892/318.062/0.921 ms
14/07/01-11:50:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.586/317.556/320.670/1.661 ms
14/07/01-11:51:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 316.602/316.675/316.839/0.365 ms
14/07/01-11:53:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.576/317.030/318.657/0.956 ms
14/07/01-11:55:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.533/316.860/317.529/0.804 ms
14/07/01-11:56:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 316.569/316.603/316.647/0.504 ms
14/07/01-11:58:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 316.575/316.783/317.483/0.350 ms
14/07/01-12:00:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.554/316.614/316.703/0.505 ms
14/07/01-12:02:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.495/316.764/317.037/0.538 ms
14/07/01-12:04:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.562/316.859/317.970/0.659 ms
14/07/01-12:05:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.590/316.604/316.619/0.011 ms
